Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.305s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
2.00	8.09	7.18	0.07	1.58	0.00	1.53	0.00	1.08	3.83	1.39	0.00	0.46	0.19	0.26	0.08	1.81	0.41	1.07	1.20
3.00	8.10	7.20	1.14	0.02	0.00	4.30	0.00	3.16	2.96	0.68	0.00	2.10	4.26	1.48	1.20	0.22	0.66	0.42	0.78
4.00	8.10	7.21	1.19	2.81	0.01	1.91	0.49	1.26	2.65	2.25	0.27	2.72	3.50	0.97	2.16	1.07	2.43	1.78	2.00
5.00	8.10	7.20	0.00	2.48	0.00	0.00	0.60	0.24	4.50	1.83	0.12	3.18	2.91	0.82	2.79	1.47	1.32	0.07	1.71
6.00	8.10	7.21	0.00	5.16	0.00	0.00	0.65	2.31	5.37	0.35	0.42	4.71	4.45	0.00	0.02	2.54	0.82	0.32	2.72
7.00	8.10	7.20	0.55	6.64	0.25	0.02	0.14	0.00	5.43	3.14	0.72	4.80	4.53	0.00	0.00	3.58	3.33	0.52	1.10
8.00	8.09	7.20	0.84	6.38	0.00	0.04	0.00	4.77	5.39	1.47	0.00	4.59	4.51	0.08	1.71	0.31	3.27	0.00	3.25
9.00	8.10	7.21	0.00	1.61	0.00	5.10	0.00	0.59	5.41	1.24	0.00	4.79	4.50	0.18	0.64	3.60	3.30	0.00	2.99
10.00	8.10	7.20	1.90	1.61	0.00	5.00	0.62	0.00	4.72	4.36	0.00	3.84	4.50	1.18	3.09	3.13	2.39	0.00	1.08
11.00	8.10	7.21	0.00	2.63	0.53	4.03	1.75	5.77	5.42	1.99	0.00	0.00	4.43	0.00	3.91	3.84	0.35	0.00	3.00
12.00	8.10	7.20	0.49	1.10	0.14	5.65	0.00	0.87	4.57	1.10	1.34	1.54	2.97	1.25	3.82	2.10	0.06	0.85	2.84
13.00	8.10	7.20	0.00	0.00	0.00	6.02	0.00	4.62	5.41	0.51	4.03	1.68	4.51	1.55	3.92	0.00	0.38	2.59	3.00
14.00	8.09	7.21	2.92	1.24	0.00	5.99	1.04	2.20	2.08	2.08	0.27	2.78	3.91	0.02	1.95	2.03	0.11	0.19	2.19
15.00	8.10	7.20	4.52	5.10	0.00	3.40	0.00	0.49	5.76	2.73	0.00	0.00	4.51	0.60	4.09	3.51	0.00	0.00	2.04
16.00	8.10	7.21	0.33	5.16	0.09	3.14	0.00	5.10	5.41	0.19	0.00	1.50	2.57	0.39	2.04	1.04	1.08	0.00	1.33
17.00	8.10	7.20	0.65	3.56	0.60	5.30	0.00	1.06	4.19	3.07	0.00	1.65	4.47	0.99	3.25	0.00	1.50	0.00	1.40
18.00	8.10	7.21	0.00	1.10	0.05	5.44	0.00	0.04	4.90	3.37	0.00	0.00	4.50	2.07	3.90	0.00	0.71	0.00	0.00
19.00	8.10	7.20	0.00	2.23	0.00	4.43	0.00	0.79	5.17	1.04	0.80	4.43	4.50	3.53	3.87	1.53	3.30	0.51	1.75
20.00	8.09	7.20	0.00	6.54	0.00	0.60	0.00	0.00	5.09	2.73	0.00	4.80	3.42	1.68	2.68	2.83	0.85	0.00	2.98
21.00	8.10	7.21	1.38	3.67	0.09	5.02	0.55	5.79	5.39	0.00	0.00	4.79	0.65	3.00	0.99	1.37	1.88	0.00	2.99
