Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.444s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
30.00	7.20	6.61	2.23	0.00	0.74	5.81	0.00	5.70	5.13	0.62	0.00	3.73	0.00	3.46	0.38	3.58	2.39	2.99	3.36	0.13	0.18	2.32	0.00
31.00	7.21	6.59	0.00	0.00	3.62	5.70	0.00	0.47	5.10	0.00	0.00	5.10	0.00	1.47	2.71	0.47	2.40	3.89	3.59	0.00	0.00	1.97	0.00
32.00	7.20	6.61	0.93	0.00	2.25	5.71	0.00	0.00	5.10	0.00	0.00	4.03	0.00	0.49	4.51	0.75	0.15	2.50	3.38	0.01	0.00	2.39	0.00
33.00	7.21	6.59	2.23	0.00	2.68	4.71	0.00	1.99	5.10	0.00	0.00	5.05	0.00	2.60	4.50	0.93	0.00	0.74	3.60	1.06	0.00	2.40	0.00
34.00	7.20	6.61	0.00	1.48	5.04	2.93	0.00	0.00	5.10	0.00	0.00	4.99	0.00	1.48	1.63	1.37	0.00	3.74	3.59	1.31	0.00	2.40	0.00
35.00	7.21	6.59	0.95	0.99	3.65	3.16	0.00	0.00	4.99	0.98	0.00	4.82	0.00	2.61	1.66	1.10	0.52	3.67	1.73	0.86	0.00	0.74	0.00
36.00	7.20	6.61	0.00	1.98	1.67	5.16	0.00	0.00	2.27	1.34	0.00	3.58	0.00	3.49	4.53	2.16	0.05	3.36	0.00	1.02	0.00	1.85	0.00
37.00	7.20	6.59	3.94	2.37	3.56	5.46	0.00	1.63	5.10	3.52	0.00	4.22	0.00	4.32	3.40	2.07	0.86	0.91	0.74	1.25	0.00	1.31	0.00
38.00	7.21	6.61	1.78	0.00	2.37	5.62	0.00	0.05	5.08	1.01	0.00	3.64	0.00	2.79	2.24	1.99	2.18	0.00	3.30	0.68	0.04	1.93	0.00
39.00	7.20	6.59	1.61	2.74	2.11	4.40	0.00	0.49	5.12	1.84	0.00	3.46	0.00	1.90	3.74	2.32	2.94	2.64	0.91	0.78	0.00	1.97	0.00
