Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.410s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
28.00	7.21	6.30	5.57	2.63	0.49	2.21	5.09	0.00	4.78	0.00	2.34	0.29	4.37	0.00	1.58	2.92	0.00	0.14	0.00	0.61	3.17	2.85	0.00	1.97	0.00
29.00	7.20	6.30	3.83	2.91	0.00	1.58	5.10	2.11	4.46	0.00	0.35	0.00	2.06	0.49	3.25	0.00	0.00	0.00	0.00	2.83	1.87	3.09	0.00	1.13	0.00
30.00	7.20	6.30	1.41	1.71	0.00	2.23	0.93	0.29	4.36	0.00	2.67	3.80	4.73	0.00	2.53	3.51	0.00	0.60	0.00	3.19	0.47	2.86	2.86	0.37	0.00
31.00	7.21	6.30	2.61	0.00	0.00	4.83	4.45	1.71	5.12	0.00	4.77	1.98	0.00	0.00	1.42	0.60	0.00	0.49	0.00	3.09	1.18	2.68	3.00	1.47	0.00
32.00	7.20	6.30	5.16	0.49	1.25	3.36	4.64	0.00	5.02	0.00	2.96	3.56	0.51	0.49	0.31	1.45	0.00	0.26	0.00	0.78	2.48	2.27	0.11	2.08	0.00
33.00	7.21	6.30	2.26	0.00	5.33	2.61	0.19	2.97	3.64	0.00	1.24	2.51	1.63	4.71	1.24	0.27	0.00	0.15	1.34	2.68	2.74	3.00	3.34	2.06	0.00
34.00	7.20	6.30	0.37	0.06	5.32	3.54	2.30	2.83	5.10	1.57	0.98	2.99	4.51	3.86	0.00	1.12	0.00	0.00	2.65	0.88	0.75	2.99	2.80	1.32	0.00
35.00	7.21	6.30	3.78	0.49	2.04	0.33	3.83	4.00	2.00	0.00	2.31	2.89	1.51	2.87	3.76	1.14	0.00	0.00	1.04	1.13	2.74	2.20	2.92	0.00	0.00
36.00	7.20	6.30	5.51	0.69	0.92	1.72	1.39	1.67	2.11	2.85	2.31	2.81	3.09	2.96	2.60	3.73	0.00	0.01	0.42	0.53	3.30	2.97	2.90	0.93	0.75
37.00	7.20	6.30	3.10	0.00	3.53	2.12	2.25	0.49	2.66	0.33	2.07	3.06	1.75	2.11	0.07	0.01	0.00	0.48	0.38	1.47	3.19	3.01	1.65	1.44	0.00
38.00	7.21	6.30	1.86	0.99	5.39	5.03	0.00	3.00	2.79	0.49	1.85	1.11	0.58	0.12	2.21	0.02	0.00	0.00	2.11	0.00	3.30	2.99	1.46	2.13	1.46
39.00	7.20	6.30	0.49	0.00	5.41	1.37	1.04	1.25	5.06	2.38	1.93	1.50	1.66	1.90	1.74	2.10	0.00	0.51	1.83	1.92	3.30	3.00	2.94	1.44	0.00
40.00	7.21	6.30	2.03	1.18	5.39	3.99	4.16	0.00	3.98	1.00	1.80	0.73	0.49	1.87	0.77	0.00	0.00	0.06	0.21	0.00	2.67	2.97	2.01	0.34	0.00
41.00	7.20	6.30	4.53	2.40	2.94	4.23	0.62	0.77	4.84	0.00	1.84	2.50	3.58	1.79	0.00	0.07	0.00	0.64	1.17	2.03	1.01	2.63	1.97	1.21	0.00
42.00	7.20	6.30	3.12	3.13	1.66	4.27	1.52	3.91	3.78	2.41	2.17	1.68	2.34	0.68	0.49	0.49	0.00	0.59	3.27	0.94	1.20	3.00	1.45	1.08	0.00
43.00	7.21	6.30	5.62	0.59	4.20	1.64	4.83	5.11	3.92	0.79	1.02	3.14	1.39	3.86	2.07	0.55	0.00	0.14	3.10	0.00	0.00	1.79	0.00	0.77	0.00
44.00	7.20	6.30	2.63	1.51	2.37	3.23	0.00	2.71	1.19	0.78	2.94	3.04	0.00	0.75	0.00	2.46	0.00	0.00	2.92	0.07	3.05	1.77	0.18	0.11	0.00
45.00	7.21	6.30	2.12	0.49	4.51	4.37	1.90	0.88	1.73	1.41	3.91	1.25	4.36	1.74	1.27	0.49	0.00	0.00	0.33	0.00	3.20	3.00	1.72	1.94	0.97
