Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.151s)
CreateVariables () DONE !!!
Creating 15 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	8.67	7.76	6.89	4.10	2.36	0.00	1.66	1.48	2.72	4.11	2.47	1.52	2.20	0.52	0.61
3.00	8.70	7.80	6.90	2.44	0.57	2.96	4.23	0.39	2.21	1.98	4.71	3.89	1.67	1.11	1.34
4.00	8.70	7.81	6.90	6.11	0.15	1.81	3.32	1.42	2.61	3.99	4.65	3.97	1.41	1.28	0.13
5.00	8.70	7.80	6.90	2.98	1.22	5.64	0.00	1.08	2.54	3.46	4.80	4.47	0.01	1.27	2.92
6.00	8.69	7.80	6.90	6.30	2.47	5.71	0.00	2.76	0.67	4.73	4.79	4.50	0.31	3.11	0.05
7.00	8.70	7.81	6.90	6.23	4.12	3.79	0.00	0.60	0.79	4.12	4.80	3.17	1.24	0.62	0.06
8.00	8.70	7.80	6.90	2.20	5.22	2.87	1.98	2.83	0.95	3.97	4.58	2.56	0.14	0.33	0.89
9.00	8.70	7.80	6.90	2.79	5.70	1.18	5.69	3.01	2.20	4.77	4.80	5.05	2.64	1.75	1.30
10.00	8.70	7.81	6.90	3.87	5.71	1.58	5.71	0.00	0.00	4.80	4.80	4.31	4.19	1.40	0.27
11.00	8.69	7.80	6.90	0.49	3.56	3.67	5.59	0.84	0.00	4.79	4.79	4.50	4.11	2.11	0.00
12.00	8.70	7.81	6.90	2.53	3.86	5.13	5.13	0.29	0.00	4.80	4.80	4.13	4.19	0.00	0.00
13.00	8.70	7.80	6.90	3.53	2.96	1.42	0.99	0.11	0.00	3.33	4.80	4.50	4.19	2.03	0.05
14.00	8.70	7.80	6.90	6.29	1.02	5.23	0.00	0.85	0.00	4.79	4.79	4.38	1.07	0.05	0.00
15.00	8.70	7.81	6.90	6.31	0.89	5.45	0.00	0.00	1.74	4.80	4.80	4.47	0.99	0.00	0.00
16.00	8.69	7.80	6.90	6.30	0.69	5.70	0.00	0.00	3.11	4.73	4.72	4.50	1.73	1.66	0.00
17.00	8.70	7.80	6.89	6.29	2.06	0.94	0.49	0.16	1.34	3.27	4.80	1.38	1.88	0.00	0.00
18.00	8.70	7.81	6.90	6.31	1.87	0.00	4.23	1.05	3.14	1.95	4.80	2.91	2.47	3.91	0.72
19.00	8.70	7.80	6.90	6.30	1.95	0.00	5.08	2.74	2.00	1.97	4.79	0.98	2.70	3.24	1.17
20.00	8.70	7.80	6.90	6.29	1.99	1.22	5.69	2.87	2.87	3.12	4.79	1.60	2.13	1.00	1.90
21.00	8.69	7.81	6.90	6.31	0.11	5.35	5.71	5.41	0.01	2.98	4.82	2.57	0.06	2.63	1.88
22.00	8.70	7.80	6.90	6.30	1.38	5.71	5.59	5.39	0.00	4.75	4.79	4.50	0.00	3.82	0.00
23.00	8.70	7.81	6.90	6.30	0.00	5.68	5.69	5.41	0.00	4.80	4.80	4.50	0.00	4.19	0.00
24.00	8.70	7.80	6.90	6.29	5.13	5.66	4.37	5.39	0.00	2.31	4.79	4.49	0.00	4.00	0.92
25.00	8.69	7.80	6.90	6.31	0.24	5.24	1.81	5.30	0.00	0.00	4.80	4.51	0.00	3.92	0.00
26.00	8.70	7.81	6.90	6.30	4.39	4.75	3.85	2.53	1.73	5.39	4.79	3.54	2.27	2.10	0.00
27.00	8.70	7.80	6.90	4.40	5.86	4.76	0.49	0.49	0.13	3.74	4.80	1.08	3.07	2.80	0.00
28.00	8.70	7.80	6.90	4.88	4.00	5.52	1.48	0.00	2.25	4.75	4.80	4.43	3.13	0.08	0.00
29.00	8.70	7.81	6.90	0.82	3.40	4.17	1.25	6.12	0.28	3.56	4.78	4.36	1.84	0.16	0.02
30.00	8.69	7.80	6.90	2.89	4.36	0.06	0.00	5.41	0.00	0.49	4.82	4.18	0.00	2.00	0.00
31.00	8.70	7.80	6.90	3.50	0.95	2.57	1.88	2.93	0.00	5.02	4.80	4.50	0.00	1.72	1.44
32.00	8.70	7.81	6.90	0.00	0.00	5.70	5.70	0.00	0.00	0.54	4.79	4.51	0.00	3.45	0.00
33.00	8.70	7.80	6.90	0.00	0.00	5.70	5.70	0.00	0.00	0.49	4.80	4.50	0.00	4.19	0.00
34.00	8.70	7.81	6.89	0.00	0.00	5.70	5.70	0.00	0.00	0.00	4.79	4.50	0.00	4.20	0.00
35.00	8.69	7.80	6.90	0.00	0.00	5.70	5.70	0.00	0.00	2.89	4.80	4.49	0.00	4.20	3.84
36.00	8.70	7.80	6.90	0.00	0.00	5.70	5.71	0.00	0.00	1.61	4.80	4.50	0.00	4.19	4.19
37.00	8.70	7.81	6.90	0.00	0.00	5.70	5.69	0.15	0.00	1.52	4.79	4.50	0.00	4.19	4.20
38.00	8.70	7.80	6.90	0.00	0.00	5.66	5.55	0.49	0.00	1.68	4.55	4.50	0.00	4.19	4.06
39.00	8.70	7.80	6.90	4.03	0.00	5.62	5.52	1.37	0.00	1.78	4.76	4.42	0.00	4.09	3.66
40.00	8.69	7.81	6.90	6.32	4.93	4.56	5.73	1.01	0.00	3.13	4.84	3.82	0.00	1.45	0.00
41.00	8.70	7.80	6.90	1.78	6.31	5.51	5.46	0.00	0.00	0.66	4.80	3.87	0.00	2.51	0.00
42.00	8.70	7.80	6.90	6.30	6.28	4.15	5.71	2.89	0.00	1.37	4.79	0.19	0.00	3.32	0.66
43.00	8.70	7.81	6.90	6.30	2.98	5.05	3.52	5.30	0.00	0.00	4.80	2.30	0.00	3.03	0.95
44.00	8.70	7.80	6.90	6.30	2.89	1.97	5.48	5.20	0.00	2.07	4.79	3.84	0.00	2.13	0.65
45.00	8.69	7.81	6.90	6.29	3.44	0.28	4.56	2.92	0.00	4.80	4.80	2.74	0.00	2.86	3.79
46.00	8.70	7.80	6.90	6.31	6.02	1.27	0.00	0.00	0.00	4.80	4.80	3.43	0.00	2.71	0.00
47.00	8.70	7.80	6.90	6.29	0.00	0.04	0.00	0.00	0.00	1.91	4.79	4.50	0.00	2.70	0.00
48.00	8.70	7.81	6.90	6.31	0.00	4.71	0.00	0.00	0.00	1.72	4.80	4.51	0.00	4.20	0.00
49.00	8.69	7.80	6.90	6.29	0.00	5.70	0.00	0.00	0.00	1.61	4.79	4.49	0.00	4.20	0.00
50.00	8.70	7.80	6.89	6.16	1.15	1.83	3.42	0.09	1.11	2.90	4.80	4.20	2.05	2.77	0.00
51.00	8.70	7.81	6.90	4.80	2.31	2.64	2.54	0.00	1.39	4.78	4.78	3.92	4.47	1.79	2.39
