Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.191s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
40.00	7.50	7.21	6.62	2.83	1.26	4.03	1.66	0.62	4.50	4.56	2.05	1.63	2.56	2.54	1.35	1.83	0.69
41.00	7.50	7.20	6.12	1.72	2.39	4.06	1.72	0.49	5.00	4.38	4.70	3.99	3.89	3.20	0.00	1.85	0.24
42.00	7.50	7.20	2.93	0.00	5.88	3.40	1.92	0.46	5.24	5.09	1.37	4.51	3.91	1.74	2.89	0.35	0.78
43.00	7.50	7.21	2.93	0.00	5.99	1.74	0.91	2.51	5.41	5.39	4.79	4.50	3.90	4.11	0.55	2.44	0.37
44.00	7.50	7.20	0.00	2.70	4.70	0.00	1.59	3.89	4.18	5.42	2.16	3.89	3.20	2.93	0.04	3.00	1.26
45.00	7.50	7.21	5.31	0.15	5.75	0.04	1.88	3.10	5.89	5.19	0.57	4.50	3.90	1.47	0.49	2.90	0.40
46.00	7.49	7.20	6.18	3.39	5.26	2.50	2.87	4.33	0.64	4.50	2.91	4.37	3.06	0.00	0.15	1.73	1.22
47.00	7.50	7.21	5.25	5.09	5.96	2.01	5.76	1.40	5.36	1.12	1.33	4.27	3.67	0.08	0.01	1.77	1.78
48.00	7.50	7.20	4.85	5.43	4.27	4.23	5.70	1.30	5.12	5.41	1.91	4.51	2.80	2.34	0.15	1.10	1.07
49.00	7.50	7.20	0.00	3.21	0.40	0.00	4.63	5.70	4.45	5.32	0.01	3.40	1.24	0.97	1.24	1.75	0.74
50.00	7.50	7.21	0.00	6.12	0.00	1.41	5.57	5.39	5.39	2.40	0.00	2.50	3.79	3.56	2.74	1.70	1.28
51.00	7.50	7.20	0.00	6.87	1.19	4.12	5.70	3.89	5.39	4.86	4.58	4.50	3.91	1.61	2.28	2.06	1.35
52.00	7.50	7.21	1.84	6.78	0.80	4.24	5.52	0.99	5.41	5.05	2.65	2.78	3.78	1.84	0.38	2.18	1.11
53.00	7.50	7.20	0.00	1.30	0.00	4.90	5.70	5.79	5.39	5.35	2.83	3.38	3.90	0.48	0.72	0.86	0.02
54.00	7.50	7.20	0.00	1.77	3.90	4.17	5.66	4.30	4.44	4.86	0.64	3.36	3.10	0.00	2.44	2.37	0.60
