Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.674s)
CreateVariables () DONE !!!
Creating 10 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
65.00	8.41	0.49	1.45	1.06	1.45	0.00	4.12	1.83	1.94	2.24
66.00	8.40	0.75	0.93	2.32	3.32	0.00	0.80	1.58	0.81	1.31
67.00	8.40	1.91	1.02	2.21	1.13	0.00	0.00	0.31	1.50	1.91
68.00	8.41	1.26	1.44	1.07	3.19	0.00	0.31	0.00	0.79	0.80
69.00	8.40	0.82	4.24	0.68	0.78	0.00	2.85	0.75	3.82	1.74
70.00	8.40	0.71	3.36	0.31	0.75	0.00	2.50	0.47	2.94	1.28
71.00	8.41	0.78	3.33	0.73	1.90	0.00	0.00	0.00	2.41	2.66
72.00	8.40	1.67	2.34	1.57	2.45	0.00	3.44	1.65	2.34	0.64
73.00	8.40	0.00	0.48	3.49	4.04	0.00	3.93	2.65	4.10	1.31
74.00	8.41	1.31	0.05	2.76	3.19	0.00	2.16	2.08	2.48	2.17
75.00	8.40	2.52	1.01	1.46	2.70	0.00	2.46	1.25	1.72	1.11
76.00	8.40	4.44	1.13	3.42	1.84	0.00	0.14	1.33	1.75	2.04
77.00	8.40	1.38	0.99	0.00	0.00	0.00	1.25	1.60	0.84	3.04
78.00	8.41	0.00	1.30	1.84	0.85	0.00	2.63	0.00	0.00	2.96
79.00	8.40	1.59	3.03	4.09	0.48	0.00	1.37	3.39	3.83	0.93
80.00	8.40	0.18	0.45	0.58	4.06	0.00	0.07	1.59	1.86	0.72
81.00	8.41	0.27	3.27	1.68	4.27	0.00	2.11	3.42	3.64	1.01
82.00	8.40	2.31	1.42	3.83	3.76	0.00	3.70	1.88	0.92	1.39
83.00	8.40	0.00	2.87	2.46	0.94	0.00	1.17	0.00	3.59	2.38
84.00	8.41	2.11	1.04	2.41	0.87	0.00	2.32	0.11	3.87	3.07
85.00	8.40	5.56	2.34	2.19	0.29	0.00	2.97	0.99	3.54	2.27
86.00	8.40	1.33	5.59	3.30	0.40	0.00	3.46	0.00	2.45	0.58
87.00	8.41	0.06	1.60	3.21	2.37	0.00	2.72	0.57	0.89	2.00
88.00	8.40	2.20	2.80	0.55	1.20	0.00	0.20	0.66	2.12	2.64
89.00	8.40	5.78	2.54	2.92	5.88	0.00	3.99	0.44	3.12	0.00
90.00	8.41	1.72	3.89	3.21	3.53	0.00	4.15	0.00	4.13	1.00
91.00	8.40	0.25	1.02	4.05	4.70	0.00	4.43	0.72	1.02	1.47
92.00	8.40	4.72	2.36	2.57	2.31	0.00	1.65	0.05	3.87	2.38
93.00	8.41	0.92	2.01	4.20	4.60	0.00	3.29	4.10	3.52	2.89
94.00	8.40	2.83	2.40	2.53	4.36	0.00	1.11	1.20	1.74	1.67
95.00	8.40	0.58	2.91	2.68	2.32	0.00	3.13	0.32	2.48	1.10
96.00	8.40	5.96	3.56	0.53	5.23	0.00	4.07	0.01	3.98	3.29
97.00	8.41	2.26	0.54	3.14	3.63	0.00	0.97	0.35	0.60	1.01
98.00	8.40	2.59	1.80	3.54	1.90	0.00	3.51	1.21	3.77	1.97
99.00	8.40	0.78	0.75	1.87	2.37	0.00	0.12	2.48	1.21	1.71
100.00	8.41	1.19	5.06	0.44	5.72	0.00	4.76	3.82	3.26	3.23
101.00	8.40	0.00	0.02	3.07	3.42	0.00	2.99	2.60	3.12	0.52
102.00	8.40	4.75	5.69	4.30	5.69	0.00	4.90	4.26	3.97	3.11
103.00	8.41	6.31	6.01	5.71	5.70	0.00	4.49	4.50	4.19	3.31
104.00	8.40	6.30	5.99	5.70	5.70	0.00	4.50	4.50	4.20	3.30
105.00	8.40	6.30	6.01	5.70	5.71	0.00	4.51	4.50	4.20	3.30
106.00	8.41	3.79	2.14	2.66	4.90	1.65	2.56	3.56	2.33	2.47
107.00	8.40	1.83	1.08	0.16	2.01	1.95	1.10	2.61	1.59	2.00
108.00	8.40	3.42	0.33	0.00	1.17	0.26	0.00	0.87	1.68	0.53
109.00	8.41	0.49	1.88	1.72	0.97	0.00	2.20	0.49	4.03	0.75
110.00	8.40	0.82	0.71	3.14	2.27	0.00	2.30	0.42	2.28	2.17
111.00	8.40	1.77	2.56	0.69	0.57	0.62	3.06	3.84	3.32	2.20
112.00	8.41	1.51	2.07	1.53	1.02	0.39	1.65	1.44	3.23	1.99
113.00	8.40	1.52	4.13	0.00	2.36	0.78	1.58	1.88	3.43	2.50
114.00	8.40	1.21	3.59	0.00	1.15	0.00	1.68	1.92	2.57	2.00
115.00	8.40	2.40	1.22	0.00	0.94	0.00	1.47	1.60	2.08	2.84
116.00	8.41	1.98	4.31	2.54	1.48	0.35	0.68	0.87	3.23	1.85
117.00	8.40	1.17	2.72	3.58	1.01	3.45	3.16	3.63	3.04	0.26
118.00	8.40	0.47	0.78	0.51	0.84	0.59	3.31	0.92	0.60	2.34
119.00	8.41	2.13	3.31	1.01	1.01	0.89	3.32	1.51	3.00	2.01
10.2.1.2	8.56	8.27
10.1.1.2	2.27	63233.30
10.1.1.3	2.81	55975.32
10.1.1.4	2.19	34747.19
10.1.1.5	2.31	48743.71
10.1.1.6	0.86	99392.64
10.1.1.7	2.41	62075.79
10.1.1.8	1.62	68230.04
10.1.1.9	2.60	38179.05
10.1.1.10	1.83	17092.58
