Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.558s)
CreateVariables () DONE !!!
Creating 20 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19
34.00	6.89	6.90	6.61	0.87	5.98	5.29	4.47	0.00	4.79	0.86	4.09	4.68	0.00	3.90	0.00	3.60	0.00	0.00	1.12	2.10
35.00	6.90	6.90	6.59	1.59	5.96	1.61	3.80	0.82	4.72	1.33	1.65	4.82	0.79	3.89	0.00	3.59	0.00	0.00	2.32	2.10
36.00	6.90	6.90	6.61	1.14	6.05	5.88	1.26	0.00	4.78	1.81	4.82	4.79	4.19	3.32	2.05	3.59	0.00	0.00	2.06	1.67
37.00	6.90	6.90	6.59	1.99	6.01	5.53	2.83	2.90	3.71	2.27	0.55	1.50	4.22	4.35	2.25	3.62	0.00	0.00	1.02	1.85
38.00	6.90	6.90	6.61	1.46	0.73	4.26	0.05	0.06	4.80	0.00	1.61	3.24	2.85	3.90	3.58	3.60	0.00	0.92	2.25	2.10
39.00	6.90	6.90	6.59	5.88	6.01	0.00	1.05	1.05	4.79	5.10	1.52	4.79	0.00	3.90	3.98	3.59	0.00	0.00	2.40	2.10
40.00	6.90	6.90	6.61	3.06	5.99	0.82	2.59	0.00	4.80	4.79	1.18	4.80	0.00	3.90	3.91	3.60	0.00	0.00	2.32	2.10
41.00	6.90	6.90	6.59	2.94	5.69	4.13	5.09	1.85	4.20	4.16	1.33	4.26	2.00	3.39	1.04	2.83	0.00	0.00	2.04	1.71
42.00	6.90	6.90	6.59	3.10	4.59	5.04	2.92	1.37	3.69	4.37	0.14	4.79	0.99	3.17	0.49	3.59	0.00	0.00	1.73	1.39
43.00	6.90	6.90	6.61	0.00	6.01	3.89	5.13	1.84	4.80	4.40	0.39	4.80	0.00	0.80	0.00	3.60	0.00	0.00	1.66	0.49
44.00	6.90	6.90	6.59	1.61	5.99	5.72	5.02	0.00	4.22	4.76	5.59	2.63	0.00	0.49	4.63	3.59	0.00	0.00	0.28	1.65
45.00	6.90	6.90	6.61	1.71	6.01	2.16	0.94	0.11	4.24	2.36	2.72	4.80	2.33	3.57	3.59	3.62	0.00	1.24	3.05	0.14
46.00	6.90	6.90	6.59	4.35	5.89	2.54	0.08	1.84	4.79	1.63	2.63	2.28	0.66	3.87	1.22	3.58	0.00	0.09	2.39	2.53
47.00	6.90	6.90	6.61	3.50	5.91	1.97	5.17	0.00	4.72	1.53	0.91	0.89	0.00	3.87	0.00	3.62	0.31	0.00	2.30	2.11
