Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.821s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
2.00	6.87	6.29	0.00	0.00	0.00	0.00	0.60	0.93	0.82	0.00	1.28	0.18	0.00	0.05	0.46	0.00	0.00	0.00	0.31	0.00	0.12	0.00	0.22	0.44	0.00
3.00	6.90	6.30	0.00	0.00	0.33	2.53	0.00	0.57	0.00	0.00	3.37	0.00	0.00	1.78	0.55	0.08	0.00	0.28	0.12	0.00	1.83	0.37	0.55	0.15	0.00
4.00	6.90	6.30	3.06	0.48	0.25	3.13	0.00	2.96	2.66	0.09	2.47	4.04	0.04	0.64	1.59	0.53	0.27	1.35	1.99	0.00	1.71	0.00	1.34	0.69	0.08
5.00	6.90	6.30	0.60	4.60	0.00	2.33	0.00	2.46	1.10	0.28	2.08	1.19	0.00	2.59	1.12	1.05	2.64	2.54	0.07	0.44	1.60	0.45	0.69	0.67	0.16
6.00	6.90	6.30	4.22	5.48	2.61	0.00	1.07	2.54	0.00	0.75	0.00	3.44	0.53	2.28	0.62	2.76	0.49	2.32	0.73	0.49	1.01	0.94	1.59	0.40	0.26
7.00	6.90	6.30	0.84	0.78	0.48	0.75	1.27	1.26	2.84	0.57	0.00	0.42	0.00	0.00	2.97	2.83	0.46	0.49	0.16	2.06	0.34	0.91	1.55	1.08	0.26
8.00	6.90	6.30	3.43	0.41	0.49	1.83	0.09	0.18	1.60	0.89	2.70	1.15	0.00	0.00	0.00	1.06	0.26	0.49	1.13	1.19	0.79	1.33	1.53	1.19	0.31
9.00	6.90	6.30	5.65	0.53	2.39	1.38	2.08	3.10	0.92	0.20	4.24	0.00	0.39	2.53	0.39	0.48	0.02	2.08	0.37	2.61	1.22	1.50	1.51	1.19	0.29
10.00	6.90	6.30	2.96	3.21	1.95	5.15	0.24	0.85	0.81	0.00	4.50	0.87	0.62	1.53	3.12	1.15	0.00	3.47	1.70	0.55	1.55	1.32	1.50	1.15	0.31
11.00	6.90	6.30	3.06	1.95	0.00	1.81	0.00	0.00	0.26	0.22	1.44	0.51	0.00	2.73	1.88	0.00	1.25	2.00	0.12	2.08	0.14	1.19	1.51	1.10	0.13
12.00	6.90	6.30	3.58	0.00	0.94	1.27	0.46	2.76	0.00	0.00	0.49	0.31	2.21	2.25	3.89	1.81	0.00	3.33	0.00	0.12	0.00	0.66	1.48	1.20	0.29
13.00	6.90	6.30	6.23	0.99	0.20	0.15	0.04	1.00	1.48	0.00	3.11	3.47	0.92	3.17	2.00	1.32	0.00	3.27	0.00	0.72	0.99	1.97	1.14	1.20	0.29
14.00	6.90	6.30	4.69	0.82	0.00	5.86	0.00	2.01	0.00	0.87	1.31	0.52	1.06	0.32	0.61	0.37	0.44	0.14	0.81	0.88	0.21	1.13	1.41	1.12	0.24
15.00	6.90	6.30	2.25	1.57	0.11	2.87	0.45	0.14	0.11	0.00	3.78	1.08	0.08	0.75	0.46	0.00	0.89	0.28	0.00	0.48	0.93	1.15	1.33	0.97	0.29
16.00	6.90	6.30	3.52	1.91	0.01	1.14	0.01	0.00	0.01	0.00	0.08	0.07	0.00	1.64	0.95	0.00	1.11	0.27	0.00	0.00	1.80	1.52	1.59	1.21	0.31
