Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.586s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
31.00	7.50	6.30	6.01	1.05	2.99	0.00	0.38	4.80	1.68	3.53	1.40	1.87	3.72	2.16	1.18	0.46	3.71	3.18	0.37	1.67	0.00	4.20
32.00	7.50	6.30	5.99	0.68	0.54	0.99	0.99	4.79	4.85	4.72	3.13	0.00	4.13	0.48	0.26	2.58	1.47	3.42	1.42	0.66	0.00	3.31
33.00	7.50	6.30	6.01	0.05	4.27	2.33	0.00	4.79	4.65	4.79	4.50	3.45	3.82	0.00	0.99	3.90	0.00	3.90	2.38	0.00	0.00	3.30
34.00	7.50	6.30	5.99	0.00	5.62	0.00	0.00	4.82	4.79	4.80	4.51	0.84	4.19	0.00	0.00	3.90	0.00	3.90	0.00	0.00	0.00	3.30
35.00	7.50	6.30	6.01	0.39	5.39	0.00	2.13	4.60	0.71	1.95	4.50	0.99	4.06	0.00	1.27	0.66	1.51	0.64	0.24	0.00	0.00	3.30
36.00	7.50	6.30	5.99	0.01	4.51	1.79	0.00	4.80	1.61	2.92	4.50	1.60	4.11	0.00	0.49	3.10	3.90	2.14	1.35	0.00	1.48	3.21
37.00	7.49	6.30	6.01	0.00	5.38	3.79	0.99	4.76	0.07	2.28	2.11	4.33	4.09	0.00	0.92	3.89	3.90	2.44	0.00	0.00	0.00	0.75
38.00	7.50	6.30	5.99	0.20	5.43	0.81	2.73	4.63	0.89	4.13	0.99	4.53	2.00	0.49	0.12	3.90	1.40	2.27	0.00	0.49	0.99	2.43
39.00	7.50	6.30	6.01	0.04	4.10	1.25	4.84	4.46	0.00	4.15	0.00	3.10	3.96	1.31	0.08	3.91	2.20	0.13	0.00	1.53	0.00	3.31
40.00	7.50	6.30	5.99	3.83	0.00	1.25	2.14	4.11	2.77	2.76	0.00	1.41	2.25	1.95	0.00	3.79	1.98	3.72	0.00	1.19	3.86	3.29
41.00	7.50	6.30	6.01	0.14	2.12	0.01	0.49	4.79	0.44	1.87	1.33	0.00	1.11	3.34	0.00	3.80	2.85	3.89	0.64	0.00	1.15	3.30
42.00	7.50	6.30	5.99	0.00	0.99	0.49	0.49	4.80	5.86	4.82	4.46	5.43	0.00	4.19	0.00	2.20	3.92	3.86	0.55	0.00	0.00	3.31
43.00	7.50	6.30	6.01	0.00	1.58	1.64	1.06	4.80	1.40	4.80	4.56	4.50	0.00	2.47	0.14	3.96	2.12	3.89	1.75	0.00	0.00	3.30
44.00	7.50	6.30	5.99	0.01	5.45	4.40	0.38	4.80	0.99	4.79	0.09	4.50	0.00	3.90	0.68	3.90	3.84	3.64	2.00	0.00	0.00	3.30
45.00	7.50	6.30	6.01	4.52	4.99	0.61	1.39	4.79	0.04	4.80	0.00	0.64	0.00	4.13	1.19	3.90	3.06	3.90	0.26	0.00	1.44	2.97
46.00	7.49	6.30	5.99	2.76	3.72	1.51	1.95	3.24	2.14	4.78	1.51	0.57	4.33	3.70	0.55	3.76	3.91	3.63	1.28	0.34	1.51	0.59
47.00	7.50	6.30	6.01	1.28	2.17	0.00	5.29	1.21	2.07	4.79	0.00	1.45	0.99	3.18	1.27	1.83	0.57	2.03	2.20	0.00	0.00	0.06
48.00	7.50	6.30	6.01	0.00	5.73	0.99	5.39	0.00	0.40	4.83	0.00	0.00	0.00	3.21	1.30	3.91	1.27	3.64	2.52	0.00	0.49	3.32
49.00	7.50	6.30	5.99	0.57	5.58	1.74	5.41	0.00	1.68	4.79	0.00	0.00	0.00	3.04	0.26	3.91	3.90	0.66	2.97	0.00	0.49	3.21
50.00	7.50	6.30	6.01	2.31	2.10	2.99	2.72	4.63	0.52	4.53	0.99	1.00	0.00	2.38	0.80	3.90	3.90	2.67	0.15	0.00	0.73	3.31
51.00	7.50	6.30	5.99	2.27	5.08	4.52	2.92	4.80	0.05	4.80	0.00	1.25	0.00	5.03	0.53	3.90	3.58	3.59	0.00	0.00	0.00	3.30
52.00	7.50	6.30	6.01	0.00	5.70	2.27	0.49	4.80	0.24	3.43	0.49	2.19	1.47	3.36	0.00	3.03	3.91	1.99	0.82	0.49	0.62	1.28
53.00	7.50	6.30	5.99	0.06	5.39	1.72	0.53	4.79	4.65	4.31	0.00	1.17	3.54	3.12	0.00	2.97	3.78	3.73	0.00	0.00	0.00	0.00
54.00	7.50	6.30	6.01	0.69	4.90	3.09	1.92	4.79	0.59	4.80	0.00	3.14	1.24	0.74	0.00	3.89	3.70	3.85	0.02	0.02	0.00	0.49
55.00	7.49	6.30	5.99	1.74	5.58	1.02	0.00	3.97	1.84	0.52	4.42	1.59	0.60	1.06	0.00	1.46	3.52	3.89	1.42	0.51	0.49	0.49
56.00	7.50	6.30	6.01	0.02	5.59	2.50	3.51	2.92	1.35	1.51	4.49	2.99	0.00	4.30	0.00	3.32	3.87	1.11	0.89	0.44	3.34	0.49
57.00	7.50	6.30	5.99	1.46	2.85	4.55	2.37	4.79	0.87	3.54	0.04	2.74	0.00	4.17	0.00	2.89	3.18	1.98	0.49	0.00	3.30	3.03
58.00	7.50	6.30	6.01	2.27	0.99	3.03	2.38	4.80	0.53	4.38	1.33	2.19	2.12	0.24	0.00	3.87	0.42	2.25	0.65	0.00	2.61	3.31
59.00	7.50	6.30	5.99	0.02	0.49	3.12	1.65	4.80	0.99	3.71	0.00	1.88	4.20	0.99	0.00	3.53	4.71	2.48	0.54	0.00	3.89	0.86
60.00	7.50	6.30	6.01	0.00	0.00	5.71	1.92	4.79	1.48	4.79	0.00	2.61	4.09	0.00	0.00	3.90	3.90	3.90	0.07	0.12	3.30	4.15
61.00	7.50	6.30	5.99	1.00	5.05	5.69	2.16	4.80	0.19	3.86	0.00	0.07	1.12	0.47	0.00	2.89	3.90	0.87	0.87	0.01	3.17	3.30
62.00	7.50	6.30	6.01	0.57	3.10	2.31	0.82	4.80	0.67	4.78	2.81	0.35	0.71	4.57	0.00	3.09	3.72	2.43	1.08	1.66	1.01	1.72
63.00	7.50	6.30	5.99	0.00	5.71	4.07	0.49	1.28	4.77	4.82	4.51	0.54	2.53	3.53	0.00	0.00	3.91	2.96	0.00	0.88	0.00	1.80
64.00	7.49	6.30	6.01	1.99	3.42	1.22	2.99	4.52	2.24	4.80	4.50	2.45	3.96	4.24	0.00	1.81	3.90	0.33	0.00	0.40	1.64	2.11
65.00	7.50	6.30	5.99	1.18	3.17	1.18	0.49	4.75	0.00	4.79	4.17	1.83	2.64	3.17	0.00	2.71	3.87	0.00	0.00	0.49	1.38	3.19
66.00	7.50	6.30	6.01	1.63	4.59	0.00	1.00	4.83	0.71	4.80	0.00	1.33	1.81	2.94	0.00	1.46	3.90	1.86	0.67	0.00	0.05	0.00
67.00	7.50	6.30	5.99	1.00	0.00	4.25	1.42	4.79	4.51	4.80	0.00	3.80	0.45	3.42	0.00	2.58	3.90	3.45	0.00	0.00	3.78	0.00
68.00	7.50	6.30	6.01	1.70	3.47	0.05	3.70	4.80	4.43	3.50	0.00	0.81	0.00	4.38	0.00	3.63	3.91	2.32	0.00	0.00	0.00	0.00
69.00	7.50	6.30	5.99	1.08	5.71	2.81	2.10	4.80	3.50	4.80	0.00	0.06	0.00	4.20	0.00	3.90	3.89	3.53	0.44	0.00	0.00	0.00
70.00	7.50	6.30	6.01	0.08	5.69	3.72	0.27	4.79	2.58	4.79	0.00	2.89	4.11	2.13	0.00	3.90	3.91	3.91	0.00	0.00	0.00	0.00
71.00	7.50	6.30	5.99	0.51	5.08	1.79	3.58	2.39	0.65	4.64	0.00	1.99	0.89	5.13	0.00	3.63	3.27	3.66	0.00	0.00	1.75	0.00
72.00	7.50	6.30	6.01	2.25	4.78	4.83	3.06	4.19	2.08	4.78	4.77	1.41	0.00	0.57	0.00	3.90	2.98	3.87	0.49	0.00	0.00	0.00
73.00	7.49	6.30	5.99	2.72	5.71	1.53	0.00	4.79	0.00	4.82	3.13	4.36	0.00	1.97	0.00	3.83	3.67	2.93	0.29	0.00	0.00	0.00
74.00	7.50	6.30	6.01	3.96	4.80	3.30	4.59	4.80	1.22	1.52	0.00	3.93	0.00	0.00	0.00	1.51	2.99	2.03	0.37	0.00	0.49	3.46
75.00	7.50	6.29	5.99	0.24	5.70	4.05	2.65	4.80	0.61	4.79	0.00	4.50	0.00	3.51	0.00	0.75	3.90	3.90	2.64	0.00	0.00	3.31
76.00	7.50	6.30	6.01	2.36	3.56	5.11	1.44	4.79	0.88	4.80	0.00	3.11	0.00	2.97	0.00	0.92	3.90	3.74	1.06	0.48	0.00	3.30
77.00	7.50	6.30	5.99	3.31	0.98	4.02	5.32	4.80	1.97	1.10	3.44	1.20	0.00	0.00	0.00	2.79	0.05	3.73	1.12	0.00	0.00	3.30
78.00	7.50	6.30	6.01	0.82	5.46	3.23	5.24	4.79	4.35	3.99	1.11	2.61	0.00	0.00	0.00	0.00	0.99	3.58	0.16	0.00	1.13	3.30
79.00	7.50	6.30	5.99	0.00	5.70	0.99	4.18	4.24	3.62	4.77	4.25	4.27	0.00	0.00	0.00	2.41	0.00	3.40	1.19	0.00	3.18	3.30
80.00	7.50	6.30	6.01	0.49	4.84	1.94	1.04	4.71	0.68	4.83	0.07	4.72	1.88	2.70	0.00	2.18	3.23	3.82	0.04	0.00	0.00	3.31
81.00	7.50	6.30	5.99	0.51	4.40	6.22	0.00	4.79	1.10	4.80	5.45	3.94	3.69	4.76	0.00	1.98	0.09	2.79	1.53	0.00	0.00	2.85
82.00	7.49	6.30	6.01	1.08	3.98	5.13	2.74	4.80	1.32	4.73	1.91	3.20	0.87	3.16	0.00	3.47	2.99	3.34	0.09	0.00	0.00	0.99
83.00	7.50	6.30	5.99	0.02	0.52	0.99	4.80	4.79	1.64	2.78	0.12	2.34	0.00	0.00	0.00	2.27	1.13	1.90	1.70	0.00	2.61	0.99
84.00	7.50	6.30	6.01	0.16	1.46	0.00	5.39	4.72	0.09	4.13	0.00	0.00	0.00	0.99	0.00	1.98	0.00	1.07	1.37	0.00	3.07	0.00
85.00	7.50	6.30	5.99	4.32	5.79	1.45	3.92	4.79	1.13	4.52	0.00	2.70	0.00	0.00	0.00	0.75	0.00	2.63	0.01	0.00	0.00	0.00
86.00	7.50	6.30	6.01	2.17	3.49	5.70	0.39	3.47	0.64	4.82	1.44	4.51	0.00	0.00	2.30	2.44	2.76	3.27	2.13	0.57	1.68	0.00
87.00	7.50	6.30	5.99	0.34	0.49	2.78	2.52	4.80	0.11	4.80	1.74	4.44	5.09	0.00	0.99	3.74	3.90	2.41	0.54	0.00	3.30	0.00
88.00	7.50	6.30	6.01	0.01	3.39	0.99	0.00	4.79	1.39	4.79	0.00	3.64	1.11	2.52	0.00	3.56	3.90	3.90	0.00	0.00	3.30	3.47
89.00	7.50	6.30	5.99	2.87	0.89	1.64	0.00	4.80	0.06	4.71	4.89	1.63	0.00	0.00	0.00	2.33	0.01	3.53	0.00	0.00	0.84	3.30
90.00	7.50	6.30	6.01	4.83	0.49	2.06	0.00	4.79	0.57	4.71	4.49	1.01	1.48	0.99	0.00	3.79	4.65	3.82	1.92	0.00	0.49	3.30
91.00	7.49	6.30	5.99	0.54	3.04	0.14	5.48	4.80	0.19	4.63	2.80	4.19	0.25	0.99	0.00	3.66	3.91	3.92	0.13	0.00	0.00	3.30
92.00	7.50	6.30	6.01	0.64	1.40	0.99	1.00	4.80	0.28	3.63	0.00	3.50	0.49	0.00	0.00	3.89	3.90	3.90	2.64	0.00	1.77	3.30
93.00	7.50	6.30	6.01	2.17	4.89	0.00	1.25	4.79	0.20	4.78	0.00	2.80	0.00	0.00	0.00	3.91	3.90	3.90	0.57	0.00	3.26	3.30
94.00	7.50	6.30	5.99	0.00	5.35	1.53	0.99	4.80	0.00	4.78	5.26	4.49	0.99	0.75	0.00	3.87	3.87	3.87	0.00	0.00	0.13	3.29
95.00	7.50	6.30	6.01	0.00	5.64	2.81	0.00	4.80	0.91	4.84	2.96	4.53	0.00	0.00	0.00	3.92	0.00	3.92	0.00	0.00	0.00	3.32
96.00	7.50	6.30	5.99	2.40	5.69	3.12	4.51	4.79	0.78	4.79	0.00	4.50	0.00	0.00	0.00	3.90	2.52	3.91	0.66	0.00	0.00	3.30
97.00	7.50	6.30	6.01	0.78	5.35	2.25	2.30	4.75	0.01	4.80	0.00	3.43	2.28	0.00	0.00	3.91	3.72	3.69	1.32	0.00	0.00	3.30
98.00	7.50	6.30	5.99	0.27	0.21	5.52	1.07	4.77	0.00	4.76	0.00	0.00	2.31	2.99	0.00	3.42	3.63	3.65	1.80	0.00	0.99	0.01
99.00	7.50	6.30	6.01	0.18	2.21	3.44	2.70	4.83	0.21	4.82	5.22	1.39	0.49	3.32	0.00	3.73	3.64	3.40	0.47	0.00	0.00	0.00
100.00	7.49	6.30	5.99	0.00	1.55	2.20	2.32	4.79	1.40	3.40	4.50	4.37	0.74	3.82	0.00	3.90	3.77	2.63	0.00	0.00	0.00	1.83
101.00	7.50	6.30	6.01	1.27	2.59	2.17	1.83	4.80	2.25	5.25	3.12	3.87	2.67	3.79	0.00	3.05	3.26	0.91	1.02	0.00	0.49	0.85
102.00	7.50	6.30	5.99	0.53	0.07	2.43	3.27	4.80	0.00	1.12	4.17	2.94	0.87	4.10	0.00	3.90	3.90	2.96	1.30	0.00	0.00	0.00
103.00	7.50	6.30	6.01	1.37	5.22	1.45	5.03	2.30	4.44	3.13	0.00	0.16	0.00	3.45	0.00	3.90	3.90	0.00	1.48	0.00	0.00	0.00
104.00	7.50	6.30	5.99	2.78	4.37	2.14	2.66	5.00	1.84	4.79	0.00	0.87	0.00	4.02	0.00	3.31	3.90	1.02	1.10	0.00	0.00	0.00
105.00	7.50	6.30	6.01	2.36	3.84	5.36	4.10	4.76	1.35	1.35	0.00	1.22	0.00	3.34	0.00	1.10	3.90	3.87	3.31	0.00	0.00	0.00
106.00	7.50	6.30	5.99	1.14	1.99	3.24	1.00	1.34	0.22	5.50	1.21	3.24	0.00	1.31	0.00	0.27	3.91	2.76	1.33	0.00	0.00	0.00
107.00	7.50	6.30	6.01	0.28	0.99	1.24	1.22	0.99	0.18	4.19	3.39	2.64	0.81	0.92	0.19	1.48	3.90	3.91	0.53	0.00	0.00	0.00
108.00	7.50	6.30	5.99	0.06	2.17	2.24	1.86	0.00	0.09	4.13	4.51	4.46	0.00	2.66	0.00	0.92	1.72	3.25	0.09	0.00	1.80	0.99
109.00	7.49	6.30	6.01	0.00	5.70	0.00	0.00	2.71	2.64	4.77	4.50	2.07	0.00	4.13	0.00	0.49	3.90	1.87	0.00	0.00	1.50	3.30
110.00	7.50	6.30	5.99	0.27	5.70	0.75	1.33	2.08	3.91	3.63	3.66	0.00	0.49	3.54	0.00	4.66	0.24	1.58	0.00	0.00	0.98	1.33
111.00	7.50	6.30	6.01	1.31	5.59	0.64	2.13	4.78	4.38	4.42	4.25	1.28	2.70	0.92	0.00	3.77	2.68	0.00	0.81	0.00	0.40	2.18
112.00	7.50	6.30	5.99	2.26	1.79	2.65	2.00	4.79	4.63	2.46	0.99	2.30	0.49	0.84	0.00	3.90	3.89	1.78	0.54	0.00	3.43	0.00
113.00	7.50	6.30	6.01	0.65	2.13	1.99	2.16	4.80	1.28	4.65	0.00	0.73	0.00	0.49	0.00	3.91	2.78	3.90	0.00	0.00	0.01	0.00
114.00	7.50	6.30	5.99	0.61	4.84	0.00	1.37	4.80	2.83	4.79	0.00	3.85	3.86	0.00	0.00	3.90	0.94	3.82	2.34	0.00	0.00	0.00
115.00	7.50	6.30	6.01	2.23	5.37	2.73	3.30	4.80	2.56	4.68	0.00	4.35	3.11	0.49	0.00	2.79	1.30	3.37	1.25	0.00	0.49	3.92
116.00	7.50	6.30	5.99	0.78	5.71	0.00	0.00	0.01	0.65	4.68	1.47	4.52	0.00	0.48	0.00	2.76	0.19	2.81	1.52	0.00	0.00	1.52
117.00	7.50	6.30	6.01	1.27	3.93	2.36	5.23	0.00	3.79	4.80	4.50	4.15	0.49	0.00	0.00	3.91	0.00	3.90	2.97	0.00	0.00	3.30
118.00	7.49	6.30	5.99	0.06	4.68	2.46	1.31	0.00	2.80	3.74	2.43	3.47	0.00	0.00	0.00	3.70	1.80	3.65	2.17	0.00	0.00	3.30
119.00	7.50	6.30	6.01	3.00	4.24	0.00	5.68	0.00	0.87	4.79	0.00	4.36	0.00	0.00	0.00	3.25	0.38	3.16	1.10	0.00	0.00	3.31
10.2.1.2	7.64	9.06
10.2.1.3	6.42	8.63
10.2.1.4	6.11	8.23
10.1.1.4	1.06	129828.73
10.1.1.5	3.77	64311.51
10.1.1.6	2.34	156214.02
10.1.1.7	2.04	128134.90
10.1.1.8	4.33	16885.63
10.1.1.9	1.51	96561.45
10.1.1.10	4.06	34397.24
10.1.1.11	1.96	151145.66
10.1.1.12	2.64	52130.49
10.1.1.13	1.36	202730.05
10.1.1.14	1.95	129374.78
10.1.1.15	0.34	484840.73
10.1.1.16	2.99	31374.76
10.1.1.17	2.98	61689.32
10.1.1.18	2.69	52213.27
10.1.1.19	0.84	117355.94
10.1.1.20	0.33	268801.67
10.1.1.21	1.15	298358.21
10.1.1.22	2.19	80074.75
