Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.603s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
30.00	7.20	6.90	5.59	0.40	1.81	5.28	3.66	1.15	5.10	0.00	1.51	0.00	0.00	0.00	0.26	0.06	3.09	0.00	2.98	2.43	1.94	0.14	1.80
31.00	7.21	6.90	1.98	0.27	1.51	5.58	6.32	1.20	2.78	0.00	1.52	2.19	4.10	0.00	0.09	0.75	0.67	2.21	2.97	0.49	1.68	0.04	1.80
32.00	7.20	6.90	0.00	0.00	2.86	1.08	2.38	2.90	4.42	1.32	0.57	0.00	0.00	0.00	0.09	0.00	0.00	3.00	2.71	3.24	2.11	0.64	1.80
33.00	7.21	6.90	0.00	0.13	5.81	6.05	0.99	0.85	5.02	0.71	1.74	0.00	1.74	0.00	0.00	2.11	0.00	2.65	3.00	2.70	2.10	1.34	1.80
34.00	7.20	6.89	5.12	0.16	0.01	5.99	5.91	5.68	4.13	0.00	2.44	0.00	3.18	0.00	0.00	3.90	3.06	3.34	2.98	2.70	2.10	0.01	1.80
35.00	7.21	6.90	3.94	0.33	0.00	3.79	5.10	4.88	2.26	0.27	1.40	0.86	0.01	0.00	0.00	3.82	2.01	1.70	1.63	2.71	1.85	0.19	1.75
36.00	7.20	6.90	3.00	0.93	0.00	4.23	0.59	2.00	2.70	0.33	3.06	0.00	0.00	0.00	1.26	0.73	4.17	0.00	1.04	2.59	1.64	0.02	1.80
37.00	7.20	6.90	4.63	0.02	1.72	3.70	2.26	4.40	1.01	0.69	0.01	0.00	0.75	0.00	0.00	0.00	3.60	1.28	2.99	2.63	2.10	0.00	1.71
38.00	7.21	6.90	4.90	0.00	1.15	2.51	2.73	1.67	2.89	0.00	0.05	0.00	3.54	0.00	0.00	3.58	3.59	0.00	2.40	1.77	1.77	1.06	1.48
39.00	7.20	6.90	5.20	3.25	1.18	0.00	0.49	0.48	5.66	1.50	2.36	1.38	0.57	0.00	1.04	1.47	3.60	2.66	2.96	2.61	1.61	0.29	1.80
40.00	7.21	6.90	5.51	0.35	2.12	0.00	2.91	3.39	4.44	0.61	1.10	0.00	0.49	0.00	0.00	0.99	1.63	2.50	2.74	1.91	1.59	0.06	1.74
41.00	7.20	6.90	6.61	0.27	1.78	5.55	0.00	0.49	4.00	1.74	4.04	0.00	0.00	0.00	0.00	0.00	3.60	0.00	2.43	2.70	2.06	1.12	1.66
