Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.393s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
2.00	6.55	0.00	0.00	0.78	0.14	3.91	0.00	3.42	0.00	0.78	0.00	0.00	0.21	0.00	0.00	0.72	0.18	0.00	2.12	1.35	0.00	0.00
3.00	6.59	2.72	0.53	0.01	0.65	5.81	1.80	1.17	0.00	2.50	0.00	1.55	1.01	0.86	0.00	1.47	0.66	1.57	1.65	1.20	0.71	0.00
4.00	6.61	2.08	0.57	0.01	0.62	3.37	3.60	1.31	0.00	0.62	0.99	1.74	1.39	0.99	0.78	2.14	0.18	2.38	0.85	0.73	0.73	0.16
5.00	6.59	1.21	0.84	0.45	0.67	5.17	2.64	1.57	0.00	0.66	0.85	1.78	2.37	0.97	0.00	1.75	0.06	1.94	1.48	1.01	0.74	0.12
6.00	6.61	5.75	2.03	1.31	0.16	3.90	5.41	1.25	0.00	0.81	0.48	3.11	2.04	1.41	0.00	2.06	1.05	1.94	0.38	3.07	0.59	0.00
7.00	6.59	2.53	2.04	0.67	0.62	2.50	2.40	0.94	0.00	1.80	0.49	2.24	0.78	0.61	0.60	1.08	0.65	2.59	2.08	1.79	1.14	0.06
8.00	6.61	3.47	0.00	0.00	0.00	1.68	3.21	2.17	0.00	0.02	0.54	0.94	0.00	2.41	0.00	3.11	0.48	2.56	1.25	2.61	1.22	0.00
9.00	6.59	6.08	0.40	0.00	0.00	5.65	5.55	4.60	0.00	2.45	0.75	1.21	0.00	3.18	1.00	3.76	1.30	2.38	0.33	3.07	0.99	0.00
10.00	6.61	6.59	0.00	0.00	0.61	5.95	5.98	5.64	0.00	0.00	0.00	2.08	1.95	0.78	3.07	0.00	1.35	2.32	0.46	2.46	0.00	0.12
11.00	6.59	2.13	1.14	0.00	0.00	6.01	5.99	4.20	0.00	2.71	0.88	0.00	0.66	1.33	0.55	3.09	2.44	1.08	0.00	3.31	0.19	0.00
12.00	6.61	0.00	0.00	0.00	0.01	6.01	6.01	3.46	0.00	4.99	1.13	1.18	4.42	1.67	0.00	4.19	2.34	2.43	3.72	3.30	1.32	0.00
13.00	6.59	5.76	1.45	0.00	0.04	5.92	2.65	2.46	0.00	1.05	0.00	2.79	3.11	2.03	0.20	2.71	1.59	3.83	3.51	3.30	1.64	0.00
14.00	6.61	0.95	0.49	0.00	0.00	4.80	4.16	0.81	0.00	1.32	1.48	0.27	3.49	0.11	0.00	2.71	0.00	2.66	3.71	2.48	0.00	0.00
15.00	6.59	5.17	0.49	0.00	1.26	5.96	1.80	0.11	0.00	1.74	1.71	0.00	0.49	3.27	2.18	4.52	0.48	1.06	1.90	0.98	2.14	0.07
16.00	6.59	6.59	0.00	0.00	1.02	5.37	2.47	0.86	0.00	0.92	0.69	0.40	0.00	2.60	0.00	3.25	0.04	3.82	0.51	3.31	2.08	0.27
17.00	6.61	3.84	2.23	0.74	1.10	2.24	3.21	2.39	0.00	1.08	0.55	2.71	1.74	0.73	0.66	0.95	1.64	3.26	1.90	2.61	1.45	0.27
18.00	6.59	4.51	3.20	0.08	0.00	6.12	3.66	1.90	0.00	3.43	1.33	1.33	2.57	3.79	0.82	2.79	0.98	0.53	1.37	3.27	1.94	0.00
19.00	6.61	4.23	1.86	0.00	0.25	5.99	5.62	3.56	0.00	2.99	0.49	2.78	2.90	0.98	1.45	1.99	1.61	0.84	2.04	2.59	1.22	0.00
20.00	6.59	6.62	1.87	0.82	1.75	3.52	0.12	4.57	0.00	0.47	2.38	2.98	4.39	2.36	1.74	0.59	1.22	1.26	0.00	3.11	0.00	0.29
21.00	6.61	0.28	1.54	0.00	0.00	1.40	4.59	0.34	0.00	0.05	0.18	0.55	1.39	1.24	0.00	2.86	0.05	3.96	0.13	2.87	2.10	0.00
22.00	6.59	4.82	3.60	0.00	0.69	5.06	1.90	4.65	0.00	2.47	0.54	3.46	0.78	1.31	0.53	3.25	2.60	0.26	2.79	0.82	1.38	0.00
23.00	6.61	1.68	0.99	0.00	1.64	3.39	4.86	3.93	0.00	2.10	0.45	4.35	1.60	1.04	0.66	0.14	1.08	0.60	0.32	2.60	0.85	0.00
24.00	6.59	4.10	2.79	0.00	0.52	5.08	0.12	0.00	0.00	0.75	1.05	2.45	2.45	2.32	0.02	1.75	0.00	1.97	1.28	1.10	1.31	0.00
25.00	6.61	4.55	2.33	0.00	0.00	5.46	1.54	0.00	0.00	1.33	0.28	2.92	1.91	3.84	0.00	2.65	0.00	3.58	3.91	3.42	1.79	0.00
26.00	6.59	6.10	0.12	0.00	0.00	5.73	4.02	1.28	0.00	4.29	0.00	0.71	1.11	1.22	2.32	3.31	0.02	1.66	1.94	0.52	2.40	0.00
27.00	6.61	6.59	2.00	0.00	0.00	4.20	1.11	2.66	0.00	2.01	0.32	4.04	0.24	2.72	1.51	2.13	1.52	2.38	1.00	2.98	1.26	0.00
28.00	6.59	1.95	1.63	0.00	0.00	6.75	0.95	0.33	0.00	4.66	1.75	4.50	2.77	3.82	0.06	2.71	0.00	2.77	3.90	1.92	2.26	0.00
29.00	6.59	2.47	3.14	0.00	0.00	1.11	1.47	1.58	0.00	1.88	1.04	3.52	1.45	0.74	0.00	0.04	1.00	1.12	1.48	1.07	1.38	0.00
30.00	6.61	0.08	2.57	0.00	1.11	4.10	1.67	1.87	0.00	2.51	0.57	0.00	0.00	3.30	0.00	2.32	0.00	0.73	0.25	0.41	1.60	0.09
31.00	6.59	5.05	1.55	0.00	0.00	2.80	1.35	4.56	0.00	3.62	3.27	1.39	1.06	0.15	0.00	4.18	0.98	3.30	0.00	2.16	1.28	0.00
32.00	6.61	1.17	0.19	1.54	0.05	6.16	1.67	2.47	0.00	0.95	0.53	2.56	3.63	0.09	1.10	0.31	1.24	3.23	1.17	0.92	0.49	0.00
33.00	6.59	6.38	1.79	0.00	0.39	1.53	1.67	3.54	0.00	0.22	1.63	1.91	3.67	2.31	2.63	1.35	0.37	2.24	0.81	1.92	1.31	0.09
34.00	6.61	2.60	1.98	0.00	0.78	5.23	5.18	2.01	0.00	2.07	0.62	0.57	1.88	2.58	0.00	2.43	1.39	1.46	1.01	1.70	1.48	0.20
35.00	6.59	3.47	2.86	0.71	0.02	5.13	3.09	2.68	0.00	1.53	0.16	3.19	0.62	1.44	0.00	2.70	0.68	1.90	0.41	2.26	0.91	0.00
36.00	6.61	1.70	0.18	0.06	0.34	2.72	2.57	0.35	0.00	0.91	0.07	2.37	2.04	0.31	0.26	2.93	0.13	3.05	0.07	1.94	0.25	0.08
37.00	6.59	6.61	0.49	1.42	0.02	5.92	1.59	5.78	0.00	0.00	0.01	4.07	3.89	0.00	0.00	1.68	1.88	3.70	0.00	2.17	0.00	0.00
38.00	6.61	2.87	0.00	0.00	0.09	5.26	2.25	3.85	0.00	2.13	0.11	0.38	0.53	0.72	0.13	0.14	1.63	2.31	0.79	1.53	0.15	0.04
39.00	6.59	6.18	0.49	0.08	0.00	2.99	4.39	4.02	0.00	0.66	0.24	4.17	1.26	3.21	0.00	1.12	2.92	1.93	3.10	3.19	2.57	0.00
40.00	6.61	4.11	0.46	0.00	0.00	6.16	3.25	3.00	0.00	1.14	0.49	0.55	1.74	2.34	0.15	1.02	1.35	1.33	1.07	3.19	0.24	0.00
41.00	6.59	4.99	4.39	0.00	0.14	5.73	4.76	0.33	0.00	1.35	2.17	0.49	1.37	0.60	0.07	0.95	0.22	1.55	2.74	2.46	0.46	0.00
42.00	6.59	3.65	1.48	0.00	0.00	6.01	4.44	1.02	0.00	2.41	0.00	3.09	4.51	3.37	0.00	1.19	0.00	2.43	1.08	0.48	1.64	0.00
43.00	6.61	2.50	1.30	0.09	0.27	4.00	1.02	2.84	0.00	1.38	0.00	2.71	0.41	3.33	0.78	1.84	0.69	2.47	0.04	2.73	0.13	0.04
44.00	6.59	0.64	0.53	0.06	0.09	2.11	0.00	1.68	0.00	0.59	0.05	2.78	1.41	1.70	0.40	1.19	0.73	1.50	0.77	3.12	0.86	0.00
45.00	6.61	3.07	0.20	0.00	0.05	6.01	0.59	1.88	0.00	2.64	1.46	2.53	2.10	0.45	0.00	0.20	0.02	3.42	0.55	3.31	0.77	0.00
46.00	6.59	4.90	1.90	0.49	0.00	5.46	0.02	1.58	0.00	0.88	0.04	0.40	1.57	1.90	0.06	2.83	0.27	3.25	2.90	2.54	1.73	0.00
47.00	6.61	4.27	0.00	0.37	2.24	5.58	3.46	3.26	0.00	1.81	0.02	1.27	0.97	2.46	0.00	1.17	2.33	0.41	2.07	2.97	2.59	1.26
48.00	6.59	4.06	0.37	0.93	0.01	4.26	3.49	2.44	0.00	0.22	1.59	1.51	1.60	2.18	0.00	2.50	1.13	1.77	1.26	3.04	2.24	0.00
49.00	6.61	5.42	1.15	1.33	0.00	2.18	0.55	1.13	0.00	3.62	2.11	0.49	1.94	1.94	3.43	2.46	0.12	3.43	1.25	3.24	1.80	0.00
50.00	6.59	2.06	0.00	0.00	0.74	2.45	2.84	2.45	0.00	0.87	0.08	2.38	1.01	3.07	0.05	0.00	0.15	0.00	3.32	2.68	2.00	0.19
51.00	6.61	2.91	0.01	1.18	0.64	2.84	3.34	0.01	0.00	1.93	0.00	0.33	3.17	3.10	0.00	3.18	0.00	2.76	2.79	1.54	1.50	0.12
52.00	6.59	3.74	0.00	0.00	0.52	2.98	6.01	3.89	0.00	0.26	0.74	1.74	2.18	2.73	0.00	3.57	0.72	3.09	2.01	2.96	1.99	0.02
53.00	6.61	0.49	1.42	0.52	0.00	4.65	4.13	1.13	0.00	1.88	0.00	1.95	2.99	2.20	0.00	1.64	0.12	1.87	0.71	1.79	1.47	0.00
