Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.596s)
CreateVariables () DONE !!!
Creating 15 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	8.09	0.00	2.40	1.85	2.00	0.00	1.74	0.00	2.71	3.16	3.97	0.88	2.40	0.00	0.42
3.00	8.10	0.00	3.50	0.49	3.19	4.45	1.55	3.14	2.99	0.22	4.03	1.57	1.55	0.80	1.02
4.00	8.10	6.50	2.96	0.38	1.99	4.42	3.65	3.26	4.40	3.66	3.36	1.12	1.98	0.61	0.04
5.00	8.10	7.10	4.17	2.03	1.11	5.72	2.77	1.79	3.97	4.23	4.05	0.67	3.54	2.07	0.15
6.00	8.10	3.97	5.81	2.26	3.72	5.16	3.26	0.52	1.35	3.50	2.80	2.31	3.29	1.87	1.21
7.00	8.10	7.47	0.00	3.92	4.40	5.55	1.30	0.00	0.00	1.05	3.10	2.72	2.85	0.91	0.40
8.00	8.09	8.08	3.58	2.72	6.11	5.76	0.00	3.11	0.77	0.00	4.13	3.79	2.91	0.00	1.20
9.00	8.10	5.96	5.95	0.52	4.09	4.70	1.85	1.88	1.79	2.32	3.74	2.58	2.90	0.41	1.04
10.00	8.10	1.57	4.68	3.52	2.93	4.56	4.02	1.21	2.50	4.42	2.50	1.83	2.54	0.49	0.00
11.00	8.10	7.35	0.21	0.00	1.57	6.01	0.12	3.79	4.38	4.51	4.22	0.95	3.56	0.01	0.44
12.00	8.10	7.52	6.41	6.36	1.37	5.99	0.00	5.10	4.36	1.83	4.20	0.86	3.52	1.26	0.65
13.00	8.10	5.83	2.84	3.64	1.34	3.52	1.17	3.84	4.50	1.97	3.49	0.84	2.28	0.16	1.32
14.00	8.09	5.28	5.26	2.34	4.33	5.76	0.59	1.42	2.44	0.49	3.69	2.71	3.20	0.85	1.27
15.00	8.10	7.91	6.39	0.28	1.55	5.98	2.33	4.88	4.59	1.78	2.13	0.97	3.04	1.02	0.00
16.00	8.10	3.13	3.82	3.01	2.58	4.17	0.00	2.86	4.50	2.48	4.20	1.60	2.04	0.00	0.00
17.00	8.10	8.10	0.92	1.81	1.13	6.01	1.93	3.09	4.50	0.00	4.20	0.69	0.00	1.28	0.91
18.00	8.10	7.37	3.93	3.72	2.51	5.98	0.99	1.48	4.07	0.00	4.20	1.55	0.00	0.02	0.64
19.00	8.10	1.67	7.10	4.65	1.04	5.52	3.01	3.97	3.90	0.00	4.19	0.62	2.14	1.13	1.72
20.00	8.09	2.27	7.73	6.09	1.70	0.94	3.14	2.76	2.61	0.00	4.20	1.04	2.37	2.14	1.53
21.00	8.10	7.48	5.83	5.79	1.75	5.23	2.46	0.22	4.50	2.60	3.43	0.78	2.48	1.84	1.45
22.00	8.10	4.66	4.33	6.30	0.11	3.01	4.65	0.52	4.07	4.50	1.20	0.06	2.65	1.59	1.08
23.00	8.10	7.31	0.49	6.09	0.32	0.52	1.93	0.38	2.58	4.50	3.94	0.18	2.24	0.64	0.94
24.00	8.10	7.60	3.46	2.50	2.85	3.94	2.72	0.14	1.48	3.63	3.53	1.72	0.66	3.01	0.53
25.00	8.10	7.65	4.25	0.73	2.63	4.90	1.21	2.08	4.46	3.96	3.51	0.99	2.00	1.55	0.46
26.00	8.09	0.49	6.58	2.26	0.77	1.73	0.08	2.44	4.25	2.72	4.15	0.48	1.71	0.00	0.60
27.00	8.10	2.33	2.58	0.35	1.24	4.17	0.00	4.36	2.51	1.58	3.86	0.75	2.66	1.66	1.67
