Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.039s)
CreateVariables () DONE !!!
Creating 14 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
48.00	7.81	6.90	6.78	4.23	1.90	5.63	0.52	5.41	3.67	2.64	0.49	1.42	3.31	2.00
49.00	7.80	5.52	5.31	1.11	4.16	5.33	0.61	3.12	4.76	0.14	1.18	2.39	4.02	2.31
50.00	7.80	6.77	2.79	5.50	3.69	3.66	0.00	4.32	0.80	2.51	0.00	2.13	3.01	2.39
51.00	7.81	6.91	6.90	6.22	2.80	5.09	0.00	5.39	0.00	5.00	0.00	3.70	0.20	1.92
52.00	7.80	7.08	6.89	5.61	1.74	5.03	0.00	5.41	1.04	5.10	0.00	0.49	3.78	0.48
53.00	7.80	4.23	6.90	4.96	2.20	3.93	0.15	5.41	0.92	4.69	0.00	2.44	3.90	0.92
54.00	7.81	2.37	5.82	5.57	0.55	5.70	2.12	4.70	0.49	5.10	0.45	0.57	3.45	0.09
55.00	7.80	5.71	6.90	6.10	0.37	5.70	0.00	0.00	0.51	5.00	0.48	0.27	3.90	1.60
56.00	7.81	1.95	1.01	2.86	1.90	4.86	0.00	5.16	0.58	4.69	0.05	3.24	1.13	1.04
57.00	7.80	4.86	3.97	3.44	0.49	4.35	1.57	2.03	2.52	2.20	2.41	3.91	2.96	1.68
58.00	7.80	6.24	6.97	3.17	2.43	3.18	0.00	5.77	0.25	2.86	0.25	1.12	2.18	0.16
59.00	7.81	2.53	6.08	0.71	1.15	5.25	0.00	5.41	0.01	0.93	0.00	4.44	3.10	1.22
60.00	7.80	3.54	6.94	0.00	0.00	3.89	0.99	5.39	1.21	4.51	0.00	4.40	3.89	0.11
61.00	7.80	7.20	6.90	1.51	0.00	4.40	0.00	5.41	0.79	5.57	0.00	0.67	3.53	1.39
62.00	7.81	6.99	3.78	7.01	1.42	5.62	0.14	5.39	3.33	5.10	0.00	1.81	2.85	1.53
63.00	7.80	6.84	4.13	6.21	1.57	5.22	0.00	5.39	1.07	5.11	0.00	2.24	4.62	1.75
64.00	7.80	3.50	3.67	5.00	0.74	4.52	2.48	0.19	0.01	4.58	0.38	1.60	1.73	1.28
65.00	7.81	6.08	6.89	3.94	3.90	2.94	0.00	1.33	1.17	5.10	0.00	4.79	3.11	0.00
66.00	7.80	1.83	3.44	2.76	1.83	3.37	1.34	2.63	1.05	4.19	0.00	2.08	1.86	0.02
67.00	7.81	3.07	6.63	2.81	3.78	3.12	0.00	5.83	0.59	5.12	0.00	4.15	3.49	0.33
68.00	7.80	7.11	5.84	0.85	1.20	4.78	0.02	3.72	0.99	4.91	0.00	4.43	3.91	1.21
69.00	7.80	6.72	6.85	2.31	0.15	5.70	3.11	5.39	0.49	5.02	0.00	4.72	1.35	0.00
70.00	7.81	5.76	5.26	1.19	0.54	5.70	0.95	5.36	1.46	4.65	0.46	1.52	1.18	0.91
71.00	7.80	7.21	1.04	5.25	1.86	5.70	0.00	0.06	0.00	4.66	0.00	2.45	3.74	0.37
72.00	7.80	7.20	0.00	7.01	4.16	5.70	1.10	0.00	0.00	5.10	0.00	4.79	3.90	2.91
73.00	7.81	4.07	2.81	3.44	0.81	5.19	0.13	1.87	0.07	4.65	0.05	2.86	3.73	2.12
74.00	7.80	4.89	5.26	3.47	0.02	2.56	0.68	1.50	0.00	4.91	0.00	2.89	2.79	0.05
75.00	7.80	6.56	4.49	5.02	0.28	4.75	1.21	3.63	0.01	4.13	0.00	2.96	0.72	0.04
76.00	7.81	6.43	3.76	0.71	0.00	4.83	0.00	4.19	0.34	5.36	0.33	4.15	3.74	0.31
77.00	7.80	5.49	5.29	3.99	4.50	5.62	0.16	3.70	0.00	5.04	0.00	0.00	3.89	2.18
78.00	7.81	5.53	4.73	2.99	1.27	4.33	0.00	3.52	0.57	4.23	0.19	1.38	2.00	1.78
79.00	7.80	6.43	2.66	0.66	1.51	4.93	0.32	5.39	0.25	4.76	0.24	2.73	3.46	2.68
80.00	7.80	7.01	1.47	0.00	0.53	5.99	0.49	5.42	0.00	5.22	0.00	1.63	3.91	2.78
81.00	7.81	6.37	6.47	5.37	0.08	5.11	0.00	5.39	3.93	4.44	0.18	0.00	3.46	0.09
82.00	7.80	2.70	5.81	1.87	2.63	2.68	0.48	1.34	1.32	3.69	1.19	3.76	2.48	1.80
83.00	7.80	3.62	3.47	3.60	0.02	5.70	0.00	2.28	2.24	4.97	0.48	3.17	3.90	3.53
84.00	7.81	2.00	3.73	0.26	0.75	4.90	0.00	3.46	2.89	4.05	2.32	0.67	2.14	1.77
85.00	7.80	2.19	2.59	2.86	3.80	4.96	0.61	1.25	0.00	4.37	0.00	2.64	3.24	2.38
86.00	7.80	5.77	1.88	0.07	0.00	4.42	0.49	5.28	0.11	5.00	0.11	4.80	0.91	0.42
87.00	7.81	5.62	3.12	0.94	0.01	5.33	0.00	4.89	0.00	4.68	0.00	4.79	2.93	1.18
88.00	7.80	4.35	6.02	6.43	0.42	5.02	0.00	5.38	1.04	5.09	0.00	2.66	3.54	2.92
89.00	7.81	7.21	6.89	1.32	0.54	5.61	3.96	5.22	0.51	5.11	0.00	0.00	3.89	3.50
90.00	7.80	6.47	6.57	0.18	0.73	4.90	0.47	3.57	1.55	2.87	2.63	0.65	1.67	1.75
91.00	7.80	6.67	5.71	1.42	0.61	5.18	0.18	1.92	0.25	1.95	0.05	0.00	0.98	0.01
92.00	7.81	7.20	5.52	2.24	1.68	5.68	1.37	3.46	0.98	4.88	0.00	2.17	3.69	1.95
93.00	7.80	7.20	6.43	6.30	0.21	5.39	0.00	0.91	2.20	5.10	0.00	0.74	3.90	1.41
94.00	7.80	7.01	5.70	6.14	0.89	4.93	0.18	5.35	0.02	4.99	0.00	0.98	3.83	0.01
95.00	7.81	7.10	4.40	3.98	3.12	5.69	0.00	3.25	0.35	5.10	0.68	0.24	3.70	0.71
96.00	7.80	6.47	4.65	4.29	0.86	4.56	1.48	3.72	0.06	5.10	0.06	4.37	3.42	1.65
97.00	7.80	7.20	6.95	0.79	0.31	5.68	0.51	5.19	2.60	5.03	1.38	1.04	0.52	0.00
98.00	7.81	3.12	1.34	1.20	1.13	3.07	1.20	2.01	0.01	1.20	0.00	1.27	2.30	0.48
99.00	7.80	6.23	4.82	6.30	0.95	4.82	0.49	4.65	2.19	5.09	0.65	0.46	3.72	1.52
100.00	7.81	2.57	6.41	5.88	0.00	3.17	3.59	5.41	0.00	4.89	0.00	3.91	1.21	1.25
101.00	7.80	5.11	3.24	3.79	0.80	5.66	0.00	4.35	0.67	4.30	0.61	2.13	0.75	0.81
102.00	7.80	0.20	6.82	0.49	1.55	5.41	0.27	5.39	0.00	5.09	0.00	4.80	3.90	0.00
103.00	7.81	2.37	3.37	3.10	2.63	4.82	0.66	3.52	0.12	2.47	0.07	1.92	3.20	0.88
104.00	7.80	4.50	6.35	0.00	3.47	5.70	1.22	0.00	0.80	0.00	0.77	2.04	3.89	1.52
105.00	7.80	7.17	6.28	0.00	0.00	5.70	0.00	4.36	2.08	1.35	0.00	1.94	3.91	0.24
106.00	7.81	3.66	6.09	1.22	1.61	5.02	0.29	5.38	1.20	5.11	1.11	3.52	2.79	0.40
107.00	7.80	4.11	3.14	5.05	0.77	5.00	0.00	5.42	1.45	5.11	0.00	3.99	3.20	0.00
108.00	7.80	6.88	5.86	1.70	4.75	5.19	0.08	4.59	3.58	5.09	0.00	0.68	3.90	0.48
109.00	7.81	6.83	7.43	4.43	0.93	5.29	0.00	2.83	0.00	5.11	0.00	2.39	3.82	0.00
110.00	7.80	1.87	2.53	6.04	1.90	2.57	1.35	2.94	1.01	4.76	0.88	3.16	3.47	0.49
111.00	7.81	1.55	0.22	2.12	1.28	0.00	2.50	5.41	0.01	3.96	0.01	2.34	2.92	0.41
112.00	7.80	2.93	2.83	0.49	1.22	4.72	2.06	2.74	2.00	2.43	1.91	0.86	2.96	0.00
113.00	7.80	0.04	6.90	3.58	1.30	5.70	1.22	0.00	0.00	6.12	0.00	2.67	4.72	0.00
114.00	7.81	4.00	5.59	0.49	1.71	4.90	0.12	2.47	0.11	2.38	0.09	2.04	3.21	0.71
115.00	7.80	4.15	6.74	1.77	1.64	3.74	0.29	4.84	0.00	0.71	0.00	1.65	3.84	0.27
116.00	7.80	1.63	6.45	0.00	3.31	3.79	0.37	5.46	0.34	5.10	0.00	2.65	3.54	2.66
117.00	7.81	2.53	4.45	0.00	0.14	4.78	0.86	5.31	1.10	4.88	0.93	3.32	2.64	0.19
118.00	7.80	2.76	2.92	1.34	1.90	5.66	0.35	5.26	2.68	5.10	2.16	3.38	3.71	1.25
119.00	7.80	6.78	6.85	7.28	0.01	5.56	0.98	4.99	0.00	5.10	0.00	3.24	3.84	0.00
10.2.1.2	7.95	8.47
10.1.1.2	4.79	36894.55
10.1.1.3	4.78	37996.50
10.1.1.4	3.19	74315.14
10.1.1.5	1.46	112620.47
10.1.1.6	4.64	16945.83
10.1.1.7	0.61	203114.00
10.1.1.8	3.92	27047.50
10.1.1.9	0.83	151176.74
10.1.1.10	4.24	22171.70
10.1.1.11	0.29	237173.57
10.1.1.12	2.59	28584.20
10.1.1.13	3.02	19317.83
10.1.1.14	1.10	166343.67
