Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.035s)
CreateVariables () DONE !!!
Creating 10 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	6.59	6.59	5.96	1.18	0.00	0.71	3.07	0.29	0.31	0.00
3.00	6.59	6.59	6.01	0.84	0.34	1.27	2.12	1.55	0.32	1.71
4.00	6.61	6.61	5.99	2.27	1.07	2.71	0.49	5.02	3.79	2.63
5.00	6.59	6.59	6.01	3.59	0.20	1.59	0.49	1.52	2.63	2.70
6.00	6.61	6.61	5.99	3.26	1.08	1.54	2.23	0.74	4.52	2.80
7.00	6.59	6.59	6.01	4.63	0.00	3.58	4.64	0.49	2.11	0.40
8.00	6.61	6.61	5.99	0.99	1.91	2.58	2.65	1.07	1.60	1.80
9.00	6.59	6.59	6.01	0.00	0.00	2.92	1.33	4.16	1.22	1.14
10.00	6.61	6.61	5.99	0.49	0.04	1.20	3.91	2.26	1.34	2.03
11.00	6.59	6.59	6.01	1.71	0.00	1.64	0.89	2.50	4.50	1.39
12.00	6.61	6.61	5.99	0.34	0.00	0.00	1.50	4.23	3.86	2.67
13.00	6.59	6.59	6.01	1.78	0.51	2.97	1.50	3.11	1.94	1.63
14.00	6.61	6.59	5.99	1.42	3.66	2.60	0.00	3.58	2.13	2.48
15.00	6.59	6.61	6.01	2.80	0.22	2.91	1.25	3.19	3.01	2.08
16.00	6.59	6.59	5.99	1.52	0.04	1.88	0.47	0.47	0.66	2.89
17.00	6.61	6.61	6.01	0.00	1.54	1.67	2.40	2.64	0.00	3.26
18.00	6.59	6.59	5.99	0.24	0.75	3.03	2.65	3.72	0.06	2.99
19.00	6.61	6.61	6.01	2.33	0.00	4.11	0.00	3.42	0.78	2.67
20.00	6.59	6.59	5.99	3.21	1.54	1.07	0.00	2.60	0.01	2.81
21.00	6.61	6.61	6.01	0.66	0.00	0.74	0.00	2.28	0.00	0.94
22.00	6.59	6.59	5.99	1.20	0.00	2.86	0.00	0.00	2.85	0.00
23.00	6.61	6.61	6.01	0.75	0.37	5.11	0.00	0.00	3.80	0.00
24.00	6.59	6.59	5.99	2.12	0.28	1.73	0.00	1.40	3.62	0.00
25.00	6.61	6.61	6.01	2.25	0.94	6.30	0.00	1.01	1.34	0.16
26.00	6.59	6.59	5.99	5.12	0.45	4.37	0.00	3.14	3.47	0.00
27.00	6.61	6.59	6.01	2.86	0.00	3.69	0.00	4.71	0.53	0.00
28.00	6.59	6.61	5.99	1.44	0.00	5.57	0.00	3.45	0.00	2.34
29.00	6.59	6.59	6.01	1.58	0.02	1.78	0.00	0.29	2.61	2.93
30.00	6.61	6.61	5.99	0.39	0.00	1.91	0.00	0.49	2.51	0.95
31.00	6.59	6.59	6.01	3.62	2.05	5.39	0.00	0.00	2.99	1.27
32.00	6.61	6.61	5.99	0.00	0.59	3.01	1.97	1.40	0.37	0.00
33.00	6.59	6.59	6.01	3.60	0.69	2.76	0.00	0.99	0.00	1.32
34.00	6.61	6.61	5.99	3.57	0.04	3.57	0.00	2.98	0.61	0.00
35.00	6.59	6.59	6.01	0.00	0.14	5.39	0.00	0.91	0.00	0.00
36.00	6.61	6.61	5.99	0.49	0.00	1.79	0.00	1.37	1.30	0.00
37.00	6.59	6.59	6.01	2.63	2.40	2.53	0.00	1.86	1.63	0.00
38.00	6.61	6.61	5.99	0.74	0.00	3.10	0.00	2.10	0.00	0.00
39.00	6.59	6.59	6.01	0.00	0.00	5.13	0.00	0.00	0.00	0.00
