Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.388s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
36.00	7.80	0.26	4.02	2.03	0.00	3.29	0.33	5.20	1.45	1.19	3.85	3.70	0.58	4.18	0.97	0.00	0.80	0.94	1.61
37.00	7.81	0.02	2.25	1.60	0.00	4.17	3.21	5.04	0.72	0.00	5.46	4.80	0.84	3.57	1.31	1.00	1.18	2.38	1.86
38.00	7.80	0.00	3.72	0.19	0.00	1.51	0.68	5.41	0.14	0.69	3.51	3.79	0.49	2.04	0.00	0.16	0.00	1.86	1.38
39.00	7.80	4.69	4.23	0.00	0.00	3.71	0.00	3.30	1.05	4.02	3.05	5.55	0.99	4.12	0.26	0.01	0.22	2.40	1.10
40.00	7.81	2.58	6.22	2.18	0.00	4.89	0.48	4.65	0.78	1.13	3.25	4.23	1.13	3.19	1.19	2.10	0.16	1.51	1.34
41.00	7.80	4.50	5.57	3.51	0.00	5.24	0.58	5.63	1.61	2.68	3.70	4.70	0.15	0.60	0.00	0.61	0.00	1.95	1.40
42.00	7.80	0.21	6.67	3.89	0.00	2.19	1.25	2.53	2.60	2.13	2.32	3.59	1.99	2.00	1.30	1.14	0.21	1.77	0.00
43.00	7.81	2.37	7.16	1.52	0.00	3.45	0.95	5.35	1.22	5.63	3.51	5.30	3.53	1.24	1.01	1.91	0.77	2.39	0.14
44.00	7.80	2.99	1.50	2.43	0.00	0.49	1.90	3.87	2.10	0.72	3.26	4.93	0.24	3.14	0.47	0.00	0.40	0.62	1.00
45.00	7.81	3.86	4.12	1.24	0.00	6.43	0.07	1.47	1.45	0.00	2.01	5.37	0.00	2.07	0.69	2.16	0.22	1.73	1.95
46.00	7.80	3.59	3.62	2.64	0.00	5.85	2.65	5.71	0.82	1.37	3.77	4.15	0.00	2.94	1.60	3.60	1.32	0.47	1.63
47.00	7.80	1.95	2.63	3.96	0.00	4.58	0.45	5.12	1.59	0.95	4.38	1.15	0.79	3.27	0.54	0.27	0.08	0.00	1.10
48.00	7.81	2.63	1.57	3.86	0.00	2.33	1.19	3.99	0.94	1.81	2.86	6.02	1.55	2.63	0.00	0.75	0.00	2.25	1.22
49.00	7.80	2.72	5.62	0.87	0.00	1.11	1.22	6.23	3.45	3.63	0.09	3.65	1.52	2.58	0.27	1.99	0.22	1.65	0.57
50.00	7.80	2.46	5.48	3.25	0.75	2.19	1.22	4.03	3.38	5.62	1.94	2.07	0.92	2.98	0.00	0.51	0.00	2.31	0.46
51.00	7.81	0.39	2.57	5.58	0.00	1.48	2.13	4.98	1.79	5.12	2.17	1.94	0.02	1.30	0.00	0.80	0.00	1.18	0.82
52.00	7.80	2.07	3.71	3.54	0.00	5.62	0.57	5.98	3.23	4.90	4.60	5.19	0.00	3.57	1.00	0.55	0.80	1.20	0.09
