Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.604s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
28.00	8.70	2.17	2.10	0.00	0.11	1.04	2.99	4.50	3.29	4.27	2.77	0.00	1.63	0.34	1.66	2.77	0.00	0.20	1.28	0.00	1.47	3.77	0.65	0.24	0.92
29.00	8.70	0.95	0.00	2.13	0.12	0.00	1.32	4.07	3.25	4.23	0.94	0.15	2.20	0.00	1.48	3.10	0.00	0.00	0.07	0.00	0.20	2.98	0.00	1.17	0.41
30.00	8.69	2.37	0.59	1.47	1.37	0.00	0.07	4.05	1.39	1.87	1.13	0.00	2.39	0.00	0.34	2.96	0.00	0.00	1.68	0.00	0.02	2.52	0.00	0.34	0.82
31.00	8.70	2.21	0.00	2.59	3.63	0.00	1.30	2.56	0.87	4.22	1.80	0.00	1.70	0.00	0.59	1.68	0.00	0.97	1.31	0.00	0.01	3.21	1.67	0.14	1.01
32.00	8.70	2.58	0.29	3.96	0.08	0.00	0.00	3.86	2.78	3.14	1.01	0.71	3.07	0.00	0.49	3.01	0.00	0.92	1.88	0.00	1.21	2.79	1.21	1.21	1.33
33.00	8.70	0.29	0.38	4.65	0.01	0.00	1.86	1.48	1.38	3.36	2.79	0.55	3.19	0.27	0.00	2.81	0.00	0.61	1.10	0.00	1.75	2.74	0.93	1.15	0.82
34.00	8.70	1.08	0.72	4.29	0.00	0.37	0.12	4.31	0.57	4.51	1.44	1.18	2.14	0.00	0.46	2.65	1.95	0.00	1.28	0.18	0.60	2.44	2.40	0.97	0.91
35.00	8.69	1.26	0.07	0.84	0.00	0.00	0.00	3.82	2.53	3.11	2.23	0.00	0.89	0.02	0.49	2.26	0.01	0.01	0.25	0.00	0.19	2.30	0.18	0.18	0.86
36.00	8.70	0.00	0.00	0.49	0.00	0.00	0.40	2.39	0.99	4.42	3.37	0.00	2.21	0.46	0.64	3.60	0.00	0.00	0.16	0.00	0.04	2.92	0.62	1.22	1.10
37.00	8.70	1.63	0.94	1.74	0.00	0.00	0.00	3.36	3.51	4.49	3.06	0.99	1.04	0.00	2.01	3.03	0.00	0.35	0.16	0.00	0.00	3.00	2.26	0.79	0.85
38.00	8.70	0.00	0.71	2.53	0.00	0.00	0.25	4.47	2.90	3.84	2.85	0.04	1.32	0.64	2.00	2.38	0.00	0.81	0.52	0.00	1.51	2.46	0.00	0.72	0.98
39.00	8.70	3.57	0.68	2.98	0.35	0.00	1.21	2.39	4.15	4.36	0.64	0.00	1.40	0.00	0.06	3.39	0.00	0.45	0.46	0.00	0.54	2.58	0.00	0.11	0.35
40.00	8.69	2.17	0.00	3.09	1.27	1.75	1.18	4.20	3.63	4.50	1.25	0.05	2.48	0.07	0.00	3.49	0.00	0.00	2.27	0.00	0.65	2.50	2.04	0.00	1.15
41.00	8.70	1.91	0.00	1.63	0.00	0.00	0.00	4.19	3.50	4.51	2.78	0.62	2.30	0.49	1.74	2.64	0.00	0.05	2.25	0.00	2.63	3.00	0.57	0.33	0.93
42.00	8.70	1.12	0.00	5.24	2.01	0.00	0.67	1.80	3.03	1.88	2.34	0.91	4.18	0.00	2.08	3.59	0.07	0.60	0.40	0.00	1.12	1.20	1.50	0.04	0.44
43.00	8.70	4.85	0.00	1.64	0.53	0.00	0.09	3.40	1.55	1.47	3.66	0.89	1.91	1.73	0.89	1.54	1.48	0.37	1.34	0.00	0.33	1.99	2.28	1.38	0.81
44.00	8.70	0.92	0.84	0.93	0.02	0.00	0.00	1.84	0.59	3.45	1.34	0.00	2.00	0.00	0.28	3.97	0.00	1.72	1.18	0.00	1.97	0.47	1.58	1.39	0.00
45.00	8.69	5.84	2.34	3.65	0.00	0.00	0.00	4.38	1.73	3.57	2.77	0.00	0.29	0.00	0.49	0.94	0.00	0.28	0.00	0.00	0.00	2.31	0.91	1.18	1.18
46.00	8.70	1.72	0.00	1.24	1.24	0.00	0.41	4.47	3.16	3.66	4.46	0.75	2.37	0.00	2.86	0.00	0.00	0.09	0.75	0.00	1.07	2.46	1.65	0.04	0.05
47.00	8.70	2.78	0.21	0.99	0.00	0.48	0.97	3.25	2.70	4.19	2.59	1.68	3.71	0.59	1.11	3.56	0.60	1.02	0.98	0.00	0.78	2.68	2.14	1.17	0.67
48.00	8.70	6.95	0.00	2.60	0.00	0.00	0.00	4.12	2.46	4.18	2.25	0.00	3.44	0.00	0.19	3.21	0.49	0.91	1.12	0.00	0.32	2.38	2.41	1.33	0.97
49.00	8.69	1.63	0.55	0.27	2.11	0.00	0.00	1.86	0.84	3.93	1.15	0.06	1.26	0.47	0.14	0.00	0.00	0.00	0.08	0.00	1.10	2.43	1.65	0.31	0.73
50.00	8.70	1.19	0.00	2.44	0.00	0.24	0.00	2.92	1.14	3.25	3.27	0.00	1.33	0.00	1.19	1.80	0.00	0.00	0.26	0.00	0.00	1.15	1.00	0.52	0.79
51.00	8.70	0.15	0.00	2.37	0.00	0.00	0.00	4.65	1.97	4.10	4.13	0.00	4.58	0.74	0.54	0.04	0.00	0.37	0.57	0.00	0.26	3.01	1.25	1.41	0.61
52.00	8.70	2.76	0.00	1.42	0.07	0.00	0.04	4.19	1.42	3.11	1.98	0.00	1.44	0.00	0.38	2.30	2.85	0.49	0.00	0.00	1.20	2.31	2.41	1.12	1.00
53.00	8.70	2.48	1.33	0.38	0.02	0.04	0.00	4.35	4.03	3.90	0.99	0.47	2.11	0.00	0.06	1.66	0.97	0.75	0.38	0.00	0.61	1.86	1.37	1.20	0.33
54.00	8.69	3.13	0.00	0.80	0.00	0.00	0.06	3.37	3.11	3.77	3.07	0.00	2.51	0.19	1.05	0.00	0.00	0.46	0.13	0.00	1.35	2.45	1.52	0.48	0.87
