Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.559s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
51.00	8.40	8.40	7.20	5.88	6.31	0.00	6.01	5.70	0.02	0.00	0.00	4.80	3.91
52.00	8.41	8.41	7.21	5.73	6.23	0.49	5.99	5.62	0.00	0.00	0.00	4.70	3.99
53.00	8.40	8.40	7.20	2.87	6.37	1.40	5.86	5.70	1.67	1.20	2.76	4.40	4.20
54.00	8.40	8.40	7.20	2.12	6.06	0.00	5.99	5.66	1.35	4.85	5.41	4.79	4.20
55.00	8.41	8.41	7.21	0.54	3.70	3.05	5.58	3.50	5.16	5.28	5.39	4.78	4.13
56.00	8.40	8.40	7.20	0.00	5.79	0.00	1.68	4.24	1.40	4.10	5.41	4.80	4.19
57.00	8.40	8.40	7.21	0.05	4.70	5.69	6.76	5.24	0.89	1.68	5.41	4.79	4.20
58.00	8.40	8.40	7.20	0.16	5.91	5.94	5.99	5.02	0.01	5.53	5.39	4.80	4.20
59.00	8.41	8.41	7.20	2.01	6.29	6.16	6.01	5.45	0.00	2.76	5.41	4.80	4.19
60.00	8.40	8.40	7.21	0.55	5.92	3.93	5.99	4.13	0.00	2.68	5.32	4.17	3.93
61.00	8.40	8.40	7.20	1.65	3.54	0.00	5.05	4.29	1.32	4.58	5.12	1.30	0.68
62.00	8.41	8.41	7.21	0.00	5.66	5.17	5.94	2.19	0.01	5.39	5.37	4.96	1.86
63.00	8.40	8.40	7.20	0.00	6.30	5.84	5.99	4.47	0.01	5.41	5.42	4.79	0.24
64.00	8.40	8.40	7.21	1.35	6.30	6.29	5.99	1.11	0.00	5.41	5.39	4.80	0.01
65.00	8.41	8.41	7.20	0.04	6.04	6.30	6.01	0.00	0.00	5.39	5.41	4.79	0.00
66.00	8.40	8.40	7.20	0.44	5.81	6.30	5.99	5.23	0.06	5.41	5.41	4.80	1.35
67.00	8.40	8.40	7.21	0.08	1.97	4.73	5.58	2.47	0.00	2.14	4.84	4.78	3.89
68.00	8.41	8.41	7.20	0.00	0.48	0.08	5.17	2.19	0.07	2.27	5.33	4.50	4.00
69.00	8.40	8.40	7.21	2.73	5.15	2.67	6.01	0.00	0.01	5.36	5.39	4.71	4.19
70.00	8.40	8.40	7.20	3.79	5.22	0.21	5.99	1.25	0.00	5.41	5.29	4.78	4.03
71.00	8.41	8.41	7.20	3.59	1.19	0.04	6.01	5.32	0.01	2.08	5.41	4.80	2.43
72.00	8.40	8.40	7.21	0.00	0.00	3.70	6.01	5.70	0.00	5.41	5.39	4.80	4.20
73.00	8.40	8.40	7.20	0.58	0.99	5.17	5.97	5.70	0.00	5.18	5.41	4.79	3.38
74.00	8.41	8.41	7.21	1.55	4.72	2.72	5.38	3.14	0.00	2.73	3.42	1.85	1.30
75.00	8.40	8.40	7.20	1.17	6.30	4.43	5.77	4.13	0.49	5.57	6.10	4.71	2.48
76.00	8.40	8.40	7.20	0.37	6.26	5.97	6.01	5.68	0.00	5.39	5.39	4.79	4.19
77.00	8.40	8.40	7.21	3.71	4.49	1.01	5.99	5.70	0.01	0.54	5.41	4.80	4.20
78.00	8.41	8.41	7.20	6.30	4.76	0.00	6.01	5.70	0.00	0.00	5.41	4.79	4.13
79.00	8.40	8.40	7.21	6.14	6.01	0.00	5.95	5.69	0.00	0.00	5.39	4.79	4.19
80.00	8.40	8.40	7.20	2.28	6.26	1.18	5.98	5.71	0.00	0.01	5.41	4.80	4.20
81.00	8.41	8.41	7.21	1.24	6.29	1.85	5.99	5.70	0.57	0.28	5.39	4.49	4.20
82.00	8.40	8.40	7.20	3.16	6.19	0.26	6.01	5.70	0.00	0.15	5.41	4.76	4.19
83.00	8.40	8.40	7.20	0.78	6.11	1.04	5.99	5.36	0.00	4.26	5.39	2.30	2.34
84.00	8.41	8.41	7.21	0.00	5.71	1.93	6.01	4.56	0.00	5.39	5.41	4.80	4.20
85.00	8.40	8.40	7.20	0.32	6.18	3.72	5.99	5.70	0.00	2.94	5.39	4.78	4.18
86.00	8.40	8.40	7.21	5.13	1.05	5.92	5.98	5.53	0.00	5.76	5.36	4.69	3.70
87.00	8.41	8.41	7.20	1.99	5.09	0.59	5.99	5.30	0.00	3.13	3.32	4.62	2.28
88.00	8.40	8.40	7.20	0.52	6.34	3.64	6.03	5.72	0.00	5.42	5.43	4.82	4.22
89.00	8.40	8.40	7.21	0.09	4.93	2.61	4.29	2.05	0.05	2.94	3.76	2.26	2.80
90.00	8.41	8.41	7.20	2.18	6.30	1.28	5.95	5.19	2.92	4.83	2.63	1.39	3.76
91.00	8.40	8.40	7.21	0.89	1.86	0.00	6.04	2.61	2.83	4.22	3.60	4.84	0.12
92.00	8.40	8.40	7.20	0.00	5.86	5.29	6.01	2.93	2.18	5.31	5.25	4.80	1.46
93.00	8.41	8.41	7.21	1.06	6.29	5.48	5.91	5.41	3.18	4.19	5.41	4.79	1.57
94.00	8.40	8.40	7.20	4.92	4.92	6.30	6.01	5.71	2.74	5.44	5.39	4.80	0.00
95.00	8.40	8.40	7.20	0.00	5.78	6.01	5.99	4.88	0.18	5.28	5.41	4.80	0.49
96.00	8.40	8.40	7.21	2.73	6.22	6.05	5.99	5.45	0.00	3.33	5.41	4.79	3.82
97.00	8.41	8.41	7.20	4.19	6.30	1.48	6.01	1.61	3.37	0.00	5.39	4.79	4.19
98.00	8.40	8.40	7.21	0.24	5.33	0.28	5.97	1.99	4.17	5.73	5.03	3.76	3.34
99.00	8.40	8.40	7.20	0.00	3.30	0.78	4.43	5.03	0.49	4.27	5.51	0.49	0.18
100.00	8.41	8.41	7.20	0.59	4.68	0.00	5.99	5.70	4.32	5.41	5.13	0.00	4.20
101.00	8.40	8.40	7.21	0.00	6.30	0.00	6.01	5.70	0.00	5.39	0.00	0.00	4.20
102.00	8.40	8.40	7.20	4.91	6.25	0.49	5.98	5.70	0.00	5.41	0.49	4.26	4.19
103.00	8.41	8.41	7.21	6.08	6.02	0.49	6.02	5.69	0.00	5.39	0.47	3.07	4.20
104.00	8.40	8.40	7.20	5.91	6.28	0.00	5.99	5.70	0.00	5.41	0.00	0.00	4.15
105.00	8.40	8.40	7.20	6.30	6.31	0.00	5.99	5.71	0.00	5.41	0.00	0.00	4.19
106.00	8.41	8.41	7.21	6.24	6.28	0.00	6.01	5.70	0.00	5.39	1.37	0.00	4.20
107.00	8.40	8.40	7.20	5.29	6.22	1.40	6.01	5.70	0.00	5.39	5.41	0.99	4.19
108.00	8.40	8.40	7.21	6.31	6.31	4.06	5.99	5.62	0.00	5.41	5.39	0.15	4.20
109.00	8.41	8.41	7.20	5.88	2.92	0.01	6.01	5.22	3.29	5.38	5.38	4.80	4.04
110.00	8.40	8.40	7.21	2.36	3.51	0.61	5.99	5.30	0.00	5.42	2.00	4.60	1.99
111.00	8.40	8.40	7.20	6.06	2.21	2.05	6.01	5.70	0.00	5.41	2.81	4.79	3.60
112.00	8.41	8.41	7.20	6.32	6.31	0.00	5.99	5.70	0.00	5.41	5.39	4.79	0.00
113.00	8.40	8.40	7.21	6.30	1.58	4.84	6.01	5.70	0.00	5.39	5.41	4.80	0.00
114.00	8.40	8.40	7.20	1.74	1.65	1.64	5.99	5.70	0.00	1.44	5.41	4.80	0.78
115.00	8.40	8.40	7.21	5.44	1.37	4.57	5.99	5.57	0.07	0.00	5.39	4.80	1.58
116.00	8.41	8.41	7.20	6.02	6.29	5.59	6.01	3.49	0.00	0.00	5.39	4.79	2.60
117.00	8.40	8.40	7.20	0.97	6.31	5.65	6.01	2.73	0.12	0.00	5.36	4.80	3.56
118.00	8.40	8.40	7.21	2.16	6.16	4.66	5.99	0.00	0.28	0.00	5.16	4.80	4.18
119.00	8.41	8.41	7.20	1.50	6.30	4.23	6.01	3.76	0.02	0.01	5.39	4.79	4.20
10.2.1.2	8.56	8.18
10.2.1.3	8.56	22.43
10.2.1.4	7.34	9.10
10.1.1.4	2.39	82942.64
10.1.1.5	5.06	34710.32
10.1.1.6	2.35	73640.20
10.1.1.7	5.78	7605.89
10.1.1.8	4.50	30763.02
10.1.1.9	1.13	63591.52
10.1.1.10	3.31	43241.49
10.1.1.11	4.66	18531.82
10.1.1.12	4.00	16188.65
10.1.1.13	3.30	36557.05
