Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.666s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
2.00	7.17	6.85	0.00	0.00	1.12	0.00	0.27	0.00	0.13	0.00	0.57	0.35	0.00	0.00	0.00	0.00	0.00	0.00	1.30	0.00	0.00	0.00	0.60
3.00	7.20	6.90	0.98	0.67	1.57	0.64	2.14	2.32	0.68	0.13	0.74	1.19	2.87	0.00	0.11	1.10	0.09	0.42	0.53	0.54	0.37	0.00	1.74
4.00	7.21	6.90	0.57	1.41	2.72	3.45	1.10	2.17	1.51	0.00	2.19	0.86	3.66	0.15	0.14	2.40	2.60	1.30	2.19	0.98	0.19	0.32	1.38
5.00	7.20	6.90	1.58	0.00	0.81	1.81	1.46	1.53	0.62	0.04	3.03	0.00	0.99	0.00	0.62	3.14	3.59	1.83	2.68	2.40	0.00	0.73	1.00
6.00	7.21	6.90	2.90	0.00	0.00	3.52	3.65	5.22	0.93	0.97	0.00	0.08	0.99	0.00	0.00	2.93	3.60	0.00	2.74	2.43	0.00	0.94	1.78
7.00	7.20	6.90	2.93	0.00	1.04	2.24	0.05	5.71	4.37	0.08	0.00	0.14	4.56	0.00	0.00	4.10	3.62	0.75	2.99	2.66	0.00	0.00	1.68
8.00	7.20	6.90	1.25	0.00	1.94	4.60	2.33	5.70	1.63	0.18	0.07	0.01	4.27	0.00	0.00	3.46	3.42	0.00	2.77	1.63	0.07	0.58	1.78
9.00	7.21	6.90	2.07	0.00	2.64	4.52	1.28	2.59	2.67	0.94	3.38	0.58	3.13	0.61	0.66	3.26	1.07	0.86	3.03	2.58	0.92	0.21	1.81
10.00	7.20	6.90	1.58	0.00	0.37	4.90	5.41	0.94	1.66	1.72	2.90	2.99	4.80	0.00	0.00	3.92	0.99	0.49	2.99	2.68	1.13	0.14	1.80
11.00	7.21	6.90	1.31	0.00	1.66	4.49	2.64	0.25	3.72	0.53	1.83	0.38	2.06	0.00	0.00	3.90	0.27	0.00	2.65	2.37	0.25	0.54	1.31
12.00	7.20	6.90	1.30	0.00	2.10	5.05	5.28	1.02	2.60	0.92	2.74	0.62	4.44	0.38	0.24	3.90	1.88	1.40	2.72	2.44	0.40	0.51	0.21
13.00	7.20	6.90	6.68	2.04	0.59	2.73	1.28	5.79	2.33	0.97	0.00	1.28	4.36	0.00	0.40	3.89	2.80	2.18	2.28	2.06	0.00	1.40	2.05
14.00	7.21	6.90	2.85	0.00	0.49	5.20	3.46	5.48	4.25	0.35	0.49	0.24	3.90	0.00	0.00	3.51	1.37	1.46	2.97	0.71	0.40	0.38	1.80
15.00	7.20	6.90	1.91	0.00	2.92	2.93	1.73	5.57	1.71	1.55	3.80	1.45	4.80	0.86	0.00	1.64	0.00	2.90	1.22	1.08	0.68	1.80	1.79
16.00	7.21	6.90	1.98	0.55	3.18	0.53	0.62	5.70	2.23	0.64	4.49	2.03	3.77	0.00	0.00	1.90	0.00	2.86	2.93	2.56	0.14	0.68	1.81
17.00	7.20	6.89	0.20	0.00	1.99	5.85	1.94	4.78	0.07	1.42	2.92	0.18	4.62	0.00	0.00	2.40	1.07	1.12	1.77	1.59	0.00	2.37	0.82
18.00	7.21	6.90	0.00	0.19	2.99	2.65	2.87	4.93	2.91	1.34	2.64	0.13	2.48	0.00	0.68	2.56	0.78	1.50	0.80	0.77	1.12	0.53	0.38
19.00	7.20	6.90	0.14	3.57	2.66	4.19	2.45	1.40	3.70	2.40	4.65	0.00	2.39	0.00	0.00	2.13	1.86	2.85	2.07	1.87	0.00	0.11	0.00
