Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.464s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
59.00	7.50	5.99	0.00	0.00	5.41	5.41	5.10	5.10	4.20	3.90	0.00
60.00	7.50	6.01	0.00	0.00	5.39	5.39	5.10	5.10	4.19	3.90	0.00
61.00	7.50	5.99	0.00	0.00	5.41	5.41	5.10	5.11	4.20	3.90	0.00
62.00	7.50	6.01	0.00	0.00	5.39	5.41	5.10	5.10	4.19	3.90	0.00
63.00	7.50	5.99	5.92	5.91	5.41	5.39	5.10	5.10	4.20	3.91	0.00
64.00	7.49	6.01	5.70	5.41	5.41	5.39	5.10	5.09	4.20	3.90	0.00
65.00	7.50	5.99	0.91	0.39	2.11	1.37	0.69	1.13	0.97	1.15	0.00
66.00	7.50	6.01	2.34	3.00	0.39	3.94	0.52	3.86	2.77	1.39	0.00
67.00	7.50	5.99	0.00	5.39	3.13	5.61	1.58	5.10	4.19	3.24	0.00
68.00	7.50	6.01	1.10	5.41	5.39	5.41	5.11	5.10	4.19	3.91	0.00
69.00	7.50	5.99	3.14	4.33	5.41	5.39	5.10	5.10	4.20	3.90	0.00
70.00	7.50	6.01	3.59	5.41	5.41	5.41	5.10	5.10	4.19	3.90	0.00
71.00	7.50	5.99	5.71	5.39	5.39	5.39	5.10	5.10	4.19	3.90	0.00
72.00	7.50	6.01	5.68	5.41	5.39	5.41	5.09	5.10	4.18	3.90	0.00
73.00	7.49	5.99	0.46	1.31	0.79	0.78	0.46	1.70	0.78	1.21	0.00
74.00	7.50	6.01	0.08	0.00	3.91	4.36	4.63	3.83	0.00	3.52	0.00
75.00	7.50	5.99	0.00	0.00	5.41	5.41	5.00	5.10	0.00	3.90	0.00
76.00	7.50	6.01	0.00	0.00	5.39	5.39	5.11	5.10	0.00	3.90	0.00
77.00	7.50	5.99	0.00	0.00	5.41	5.41	5.09	5.10	0.00	3.90	0.00
78.00	7.50	6.01	0.00	0.00	5.39	5.39	5.11	5.10	0.00	3.90	0.00
79.00	7.50	5.99	0.00	0.00	5.41	5.41	5.10	5.10	0.00	3.91	0.00
80.00	7.50	6.01	0.00	0.00	5.41	5.41	5.00	5.10	0.00	3.89	0.00
81.00	7.50	5.99	0.00	0.00	5.39	5.39	5.10	5.10	0.49	3.90	0.00
82.00	7.49	6.01	1.17	2.81	5.06	5.29	4.59	5.09	0.49	3.90	0.00
83.00	7.50	5.99	0.00	1.41	4.98	4.77	4.52	5.10	0.00	3.42	0.00
84.00	7.50	6.01	3.39	2.54	3.01	3.26	3.63	3.65	1.65	3.09	0.00
85.00	7.50	5.99	0.00	0.07	3.03	0.77	0.22	4.15	4.00	1.90	0.00
86.00	7.50	6.01	0.00	3.50	2.83	2.93	2.33	5.09	1.59	3.46	0.00
87.00	7.50	5.99	0.00	1.63	4.12	0.77	0.47	3.69	0.14	2.19	0.00
88.00	7.50	6.01	3.13	1.15	5.41	4.89	1.57	5.08	3.79	3.85	0.00
89.00	7.50	5.99	5.62	4.97	5.41	5.39	0.88	5.10	4.13	3.90	0.00
90.00	7.50	6.01	0.00	0.00	5.39	5.41	5.11	5.10	0.00	3.91	0.00
91.00	7.49	5.99	0.00	0.00	5.41	5.41	5.10	5.10	0.00	3.90	0.00
92.00	7.50	6.01	0.00	0.00	5.39	5.39	5.10	5.10	0.00	3.90	0.00
93.00	7.50	6.01	0.00	0.00	5.41	5.41	5.09	5.10	0.00	3.90	0.00
94.00	7.50	5.99	0.00	0.00	5.39	5.39	5.11	5.10	0.00	3.90	0.00
95.00	7.50	6.01	0.00	0.00	5.41	5.41	5.10	5.10	0.00	3.91	0.00
96.00	7.50	5.99	0.00	0.00	5.41	5.39	5.10	5.10	0.00	3.90	0.00
97.00	7.50	6.01	0.00	0.00	5.39	5.39	5.10	5.10	0.00	3.90	0.00
98.00	7.50	5.99	0.00	0.00	5.41	5.42	5.10	5.10	0.00	3.90	0.00
99.00	7.50	6.01	0.00	0.00	5.39	5.39	5.10	5.10	0.00	3.90	0.00
100.00	7.49	5.99	0.01	1.27	5.39	5.37	4.86	5.09	1.22	3.89	0.00
101.00	7.50	6.01	2.59	1.25	2.67	1.11	0.48	1.01	0.00	1.01	0.00
102.00	7.50	5.99	5.69	2.76	4.00	0.27	0.22	5.84	0.15	3.34	0.00
103.00	7.50	6.01	1.79	1.18	1.81	4.18	0.94	2.53	0.67	0.89	0.00
104.00	7.50	5.99	1.24	3.57	4.76	5.35	2.10	5.04	0.00	0.00	0.00
105.00	7.50	6.01	0.00	5.41	5.41	5.38	5.10	5.10	0.05	0.00	0.00
106.00	7.50	5.99	1.32	3.16	4.32	1.35	0.59	3.91	0.34	1.91	1.50
107.00	7.50	6.01	0.00	0.00	5.28	2.70	5.12	5.10	0.00	3.90	0.00
108.00	7.50	5.99	0.00	0.00	5.41	5.39	5.10	5.10	0.00	3.90	0.00
109.00	7.49	6.01	0.00	0.00	5.41	5.41	5.10	5.11	0.00	3.90	0.00
110.00	7.50	5.99	0.00	0.00	5.39	5.39	5.10	5.10	0.00	3.90	0.00
111.00	7.50	6.01	0.00	0.00	5.41	5.41	5.10	5.10	0.00	3.90	0.00
112.00	7.50	5.99	0.40	1.68	5.41	5.39	5.10	5.10	1.34	3.91	0.00
113.00	7.50	6.01	0.00	5.39	5.36	5.41	5.09	5.10	2.43	3.90	1.73
114.00	7.50	5.99	0.41	0.61	3.10	1.58	1.33	0.60	0.92	3.12	1.02
115.00	7.50	6.01	0.73	1.44	3.92	2.64	0.53	4.97	0.00	2.97	0.61
116.00	7.50	5.99	0.00	0.00	5.41	1.80	4.27	5.10	0.00	3.90	0.00
117.00	7.50	6.01	0.00	0.00	5.39	0.98	5.10	5.10	0.00	3.91	0.00
118.00	7.49	5.99	0.00	0.15	5.41	6.52	5.10	5.10	0.21	3.90	0.57
119.00	7.50	6.01	3.04	2.71	5.35	4.92	4.73	4.73	0.62	3.86	0.34
10.2.1.2	7.64	8.46
10.2.1.3	6.11	8.21
10.1.1.3	1.08	134463.30
10.1.1.4	1.56	119728.80
10.1.1.5	4.68	18984.39
10.1.1.6	4.46	22259.80
10.1.1.7	3.69	25448.84
10.1.1.8	4.76	9546.32
10.1.1.9	1.37	75439.33
10.1.1.10	3.38	8530.25
10.1.1.11	0.44	205122.55
