Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.342s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
31.00	7.80	7.50	6.90	6.65	5.39	5.10	0.00	3.74	4.80	0.00	3.62	0.00	2.65	4.50	4.63	0.49	0.00	0.00	2.91	0.00	0.00	0.08
32.00	7.81	7.50	6.90	6.28	5.39	1.64	1.25	3.11	2.25	2.72	1.25	0.00	3.46	4.51	4.02	1.59	0.00	0.00	1.17	0.00	1.25	0.00
33.00	7.80	7.50	6.90	1.40	5.41	0.00	4.55	0.99	4.80	2.18	0.69	0.00	3.96	4.50	3.64	1.94	0.00	0.00	2.54	0.48	1.80	0.59
34.00	7.81	7.50	6.89	0.00	5.38	0.00	5.08	5.20	4.78	0.00	4.47	0.00	4.49	4.47	4.47	1.39	0.00	0.01	2.99	0.20	1.79	0.00
35.00	7.80	7.50	6.90	0.00	0.86	0.00	5.12	1.92	4.82	3.37	4.19	0.00	4.51	4.52	4.09	1.40	0.00	0.18	3.01	0.00	1.80	0.00
36.00	7.80	7.50	6.90	5.00	5.37	3.70	5.08	1.60	4.79	3.76	1.07	2.12	4.51	4.45	4.42	3.84	0.00	0.00	3.00	0.00	1.79	0.00
37.00	7.81	7.49	6.90	6.65	4.68	5.15	4.30	3.37	4.80	4.69	0.49	0.00	4.43	4.20	4.18	3.69	0.00	0.98	2.85	0.00	1.55	0.00
38.00	7.80	7.50	6.90	3.21	5.41	5.11	5.10	4.71	4.68	4.00	1.60	1.87	4.03	4.50	2.40	4.20	0.00	1.25	1.54	0.00	1.74	0.48
39.00	7.80	7.50	6.90	4.17	4.60	3.92	2.03	2.59	4.79	4.10	1.53	1.10	3.66	4.50	4.50	4.07	0.00	0.54	2.52	0.00	1.34	0.59
40.00	7.81	7.50	6.90	1.57	0.93	2.77	4.17	2.58	4.80	4.44	1.05	0.00	0.59	4.47	1.22	2.34	0.00	0.05	0.72	0.00	1.84	1.14
41.00	7.80	7.50	6.90	0.52	4.70	3.66	5.10	2.54	4.79	3.19	2.19	0.00	3.29	4.52	4.50	4.16	0.00	0.04	1.75	0.00	1.80	0.34
42.00	7.80	7.50	6.90	2.70	5.37	5.08	4.91	1.25	4.79	1.28	5.22	0.60	4.50	4.50	4.47	4.20	0.00	0.02	3.00	0.00	1.70	1.32
43.00	7.81	7.50	6.90	5.00	4.64	4.09	1.48	1.22	4.77	0.89	2.17	0.84	3.89	4.49	2.93	3.91	0.00	0.52	2.98	0.00	1.70	0.00
44.00	7.80	7.50	6.90	3.79	3.52	4.32	4.43	2.19	4.85	2.50	0.99	0.53	4.13	4.51	5.04	1.47	0.00	1.01	0.87	0.00	1.79	0.79
45.00	7.81	7.50	6.90	7.34	5.39	5.10	5.00	1.86	4.78	0.19	4.19	0.52	4.50	4.50	4.24	0.99	0.00	1.02	1.19	0.00	1.71	0.79
46.00	7.80	7.49	6.90	5.96	3.62	4.90	2.05	4.29	4.16	0.00	2.40	0.00	2.03	4.44	4.15	0.33	0.00	0.00	3.04	0.68	1.21	1.30
47.00	7.80	7.50	6.90	4.80	5.96	5.11	4.07	2.24	4.58	0.89	3.73	0.27	3.04	4.56	3.45	1.64	0.00	0.27	1.32	0.00	1.97	0.48
48.00	7.81	7.50	6.90	6.59	5.41	4.24	5.10	1.93	4.79	3.03	3.31	0.59	1.63	4.50	4.49	1.40	0.00	2.38	1.68	0.00	1.30	0.85
49.00	7.80	7.50	6.90	3.53	0.35	4.19	5.10	4.09	0.97	2.51	0.00	0.00	0.00	4.49	3.90	3.63	0.00	1.99	2.45	0.00	1.65	0.02
50.00	7.80	7.50	6.89	2.98	2.59	5.00	3.71	3.52	4.79	2.11	0.86	0.29	4.35	4.51	0.00	0.00	0.00	0.02	1.97	0.13	0.77	0.00
51.00	7.81	7.50	6.90	6.61	5.39	3.53	4.17	3.39	3.73	3.36	1.27	0.00	4.43	4.50	2.26	2.03	0.00	0.00	2.19	0.68	1.77	0.32
