Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.123s)
CreateVariables () DONE !!!
Creating 15 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
45.00	9.60	8.69	8.09	0.00	5.88	5.98	0.00	0.00	5.41	0.02	4.51	0.00	4.20	0.00	2.32
46.00	9.60	8.70	8.10	0.49	5.96	6.02	0.02	2.54	5.41	0.71	0.91	0.00	4.20	3.80	3.52
47.00	9.61	8.70	8.10	0.00	6.01	4.10	1.14	0.26	5.39	0.38	1.38	0.00	3.96	2.89	3.57
48.00	9.60	8.70	8.10	0.00	5.99	0.00	0.82	4.96	5.29	0.49	3.09	0.00	3.11	3.85	3.12
49.00	9.60	8.69	8.10	0.00	5.94	0.00	2.52	2.81	5.41	3.09	3.78	0.00	2.11	2.94	1.32
50.00	9.60	8.70	8.10	0.00	5.66	0.00	0.00	1.52	5.39	2.03	4.49	0.00	5.04	3.57	1.63
51.00	9.60	8.70	8.09	0.00	6.02	0.00	2.33	2.53	5.41	0.04	4.51	0.00	4.20	3.89	4.78
52.00	9.61	8.70	8.10	0.00	6.01	0.00	3.30	0.00	5.41	0.00	4.50	0.00	4.20	3.57	3.59
53.00	9.60	8.70	8.10	0.00	5.77	5.17	1.61	0.00	5.39	0.00	4.23	0.00	4.19	4.22	3.60
54.00	9.60	8.69	8.10	0.00	2.26	5.90	5.51	2.32	5.41	0.49	1.07	0.00	4.16	3.79	3.45
55.00	9.60	8.70	8.10	0.00	0.00	3.99	4.77	4.33	3.36	1.10	1.12	0.94	4.13	3.90	3.52
56.00	9.60	8.70	8.10	0.00	3.47	0.00	0.53	3.05	0.00	0.49	1.21	0.00	4.18	3.87	3.50
57.00	9.61	8.70	8.10	0.00	5.94	0.00	1.64	1.44	0.00	2.17	4.43	0.00	4.22	3.91	3.63
58.00	9.60	8.70	8.09	0.00	6.01	0.00	0.77	0.98	0.00	0.00	3.84	0.51	4.09	3.90	2.68
59.00	9.60	8.69	8.10	0.00	5.99	0.00	5.61	3.18	1.22	0.01	4.50	0.49	4.20	3.90	3.53
60.00	9.60	8.70	8.10	0.00	5.98	0.00	5.95	5.38	0.00	0.92	4.50	0.00	4.19	3.90	3.60
61.00	9.61	8.70	8.10	0.00	6.02	0.00	5.91	5.35	0.00	1.19	4.47	0.00	4.20	3.90	3.62
62.00	9.60	8.70	8.10	2.36	1.71	1.44	1.26	1.91	6.12	0.04	3.87	0.00	4.04	3.70	1.15
63.00	9.60	8.70	8.10	0.00	5.42	0.49	1.77	5.31	5.41	0.00	4.50	0.00	4.20	3.91	3.60
64.00	9.60	8.69	8.09	0.00	5.99	1.38	5.91	5.30	5.41	1.18	4.50	0.20	4.20	3.90	3.60
65.00	9.60	8.70	8.10	0.00	5.99	2.12	4.13	4.04	5.39	0.00	4.40	0.39	4.18	3.90	3.50
66.00	9.61	8.70	8.10	0.00	5.75	5.99	3.98	2.33	5.41	1.19	4.50	0.00	4.06	3.90	3.09
67.00	9.60	8.70	8.10	0.00	5.77	5.99	3.44	1.70	5.39	2.74	3.92	0.52	4.20	3.85	1.31
68.00	9.60	8.69	8.10	0.00	4.51	6.02	1.85	1.74	5.41	3.50	3.40	0.00	4.20	3.91	1.77
69.00	9.60	8.70	8.10	2.63	3.76	5.99	5.58	0.51	5.39	1.63	4.15	0.00	4.03	3.64	0.02
70.00	9.61	8.70	8.09	0.00	5.99	6.01	6.01	0.66	5.41	0.22	4.51	0.00	4.20	3.90	0.51
71.00	9.60	8.70	8.10	0.00	5.52	5.99	1.99	5.22	5.39	0.34	2.20	0.00	4.19	3.90	1.46
72.00	9.60	8.70	8.10	0.00	5.30	5.98	1.12	2.37	5.41	1.33	1.28	1.93	2.14	3.87	2.53
73.00	9.60	8.69	8.10	0.00	1.08	6.01	0.00	2.03	5.39	0.00	1.39	3.43	5.33	3.92	3.17
74.00	9.60	8.70	8.10	0.00	6.05	0.07	0.48	5.09	5.41	0.85	3.32	0.01	0.64	3.91	2.72
75.00	9.61	8.70	8.10	0.00	5.99	0.00	0.00	2.44	5.41	0.00	4.04	0.00	3.40	3.90	3.59
76.00	9.60	8.70	8.09	0.00	5.83	0.00	1.90	4.59	5.39	0.79	4.50	0.00	4.20	3.89	3.59
77.00	9.60	8.70	8.10	0.00	5.52	0.00	0.97	3.62	5.41	1.38	3.44	0.00	3.99	3.07	3.43
78.00	9.60	8.69	8.10	0.00	5.79	3.09	3.59	4.93	4.19	1.20	4.47	0.00	3.30	3.90	3.56
79.00	9.60	8.70	8.10	0.00	5.90	5.99	0.53	5.29	0.00	0.01	4.11	0.00	3.36	3.80	3.56
